Name,Firewall,TCP/IP,IPv6,IPX,PPP,PPPoE,DHCP,bridge,TUN/TAP,ssh,OpenVPN
Linux,netfilter iptables/nftables,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
FreeBSD,IPFW2  IPFilter  PF,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
OpenBSD,PF,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
NetBSD,IPFilter  NPF  PF,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
DragonFly BSD,IPFW2  PF,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
OpenSolaris  illumos,IPFilter,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
AuroraUX,IPFilter,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Darwin  OpenDarwin,IPFW,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
MINIX,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
FreeDOS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Genode,software IP routing,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Haiku,None,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
KolibriOS,None,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
MenuetOS,None,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
GNU,netfilter iptables/nftables (with Linux-libre and Linux kernel),[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
ReactOS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
L4  Fiasco  Pistachio,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Plan 9,ipmux,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
AROS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Syllable,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Inferno,ipmux,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
FreeRTOS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
eCos,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
RTEMS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
HelenOS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
E/OS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
K42,[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
UnixLite -->,[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Name,Firewall,TCP/IP,IPv6,IPX,PPP,PPPoE,DHCP,bridge,TUN/TAP,ssh,OpenVPN
