Driver,802.11,Bus interface,WEP,WPA,WPA2,Monitor mode,Master mode,Ad-Hoc mode
acx,802.11a?  802.11b  802.11g,Cardbus  PCI,[null],?,?,?,?,[null]
an,802.11b,Cardbus  PCI  ISA,[null],?,?,?,?,[null]
arl,N/A,ISA,?,?,?,?,?,?
ath,802.11a  802.11b  802.11g  802.11n,Cardbus  PCI  Mini PCI,[null],[null],[null],[null],[null],[null]
awi,N/A,PC Card,?,?,?,?,[null],[null]
bwi,802.11b  802.11g,Cardbus  PCI,[null],[null],[null],[null],[null],[null]
cnw,N/A,Cardbus,?,?,?,?,?,?
ipw,802.11b,Mini PCI,[null],[null],[null],[null],[null],[null]
iwi,802.11a  802.11b  802.11g,Mini PCI,[null],[null],[null],[null],[null],[null]
iwn,802.11a  802.11b  802.11g  802.11n,Mini PCI,[null],[null],[null],[null],[null],[null]
malo,802.11b  802.11g,PCI,[null],[null],[null],[null],[null],[null]
mwl,802.11a  802.11b  802.11g  802.11n,PCI,[null],[null],[null],[null],[null],[null]
ral,802.11a  802.11b  802.11g,Cardbus  PCI  Mini PCI,[null],[null],[null],[null],[null],[null]
ray,N/A,PC Card,?,?,?,[null],[null],[null]
rum,802.11a  802.11b  802.11g,USB,[null],[null],[null],[null],[null],[null]
run,802.11a  802.11b  802.11g,USB,[null],[null],[null],[null],[null],[null]
uath,802.11b  802.11g,USB,[null],[null],[null],[null],[null],[null]
upgt,802.11b  802.11g,USB,[null],[null],[null],[null],[null],[null]
ural,802.11b  802.11g,USB,[null],[null],[null],[null],[null],[null]
urtw,802.11b  802.11g,USB,[null],[null],[null],[null],[null],[null]
wi,802.11b,PC Card  Cardbus  PCI,[null],(since 8.0),(since 8.0),(since 8.0?),[null],[null]
wpi,802.11a  802.11b  802.11g,Mini PCI,[null],[null],[null],[null],[null],[null]
zyd,802.11b  802.11g,USB,[null],[null],[null],[null],[null],[null]
