Driver,Chipset,Integration,Free firmware<ref group="note" name="free firmware">'N/A' means firmware is stored in device at all times  'yes' means firmware is available for totally free redistribution  'no' means you have to get into non-free-software contract with the manufacturer to get access to the firmware</ref>,License,Original/Primary developer,Development methodologies,Free software<ref group=note name="'free software'">in terms of no binary-only requirements that are posed by the driver  i.e. you can modify all code that is run on your CPU</ref>
an,Aironet 4500/4800  Cisco Aironet 340/350,Integrated,[null],BSD,Bill Paul (FreeBSD),Ported from FreeBSD,[null]
ath,Atheros AR521*/ AR2413/ AR2417/ AR5413/ AR5416/ AR5424/ AR9160,Integrated,[null],BSD,Sam Leffler (FreeBSD),Binary blobs ported from FreeBSD,[null]
athn,Atheros AR5008 up to the AR9287,Integrated,[null],BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,[null]
atu,Atmel at76c503/ at76c503a/ at76c505/ at76c505a,Integrated,[null],BSD,Dan Vreeken (FreeBSD),Ported from OpenBSD,[null]
atw,ADMtek ADM8211,Integrated,[null],BSD,David Young (NetBSD),[null],[null]
awi,AMD PCnetMobile,Integrated,[null],BSD,[null],[null],[null]
bwi,Broadcom BCM430x/4318,Integrated,[null],BSD,Sepherosa Ziehau (DragonflyBSD),Ported from Dragonfly BSD,[null]
cnw,Netwave AirSurfer,Integrated,[null],BSD,[null],[null],[null]
ipw,Intel PRO/Wireless 2100,Integrated,[null],BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,[null]
iwi,Intel PRO/Wireless 2200BG/2915ABG,Integrated,[null],BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,[null]
iwm,Intel Wireless WiFi 7260  7265  3160,Integrated,[null],BSD,Antti Kantee (NetBSD),[null],[null]
iwn,Intel Wireless WiFi Link 4965/ 5000/ 1000/ 6000,Integrated,[null],BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,[null]
malo,Marvell 88W8335/88W8310,Integrated,[null],BSD,Claudio Jeker (OpenBSD),Ported from OpenBSD,[null]
otus,Atheros AR9001U,Integrated,[null],BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,[null]
ral,Ralink RT2500/ RT2501/ RT2600/ RT2500USB/RT3592,Integrated,[null],BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,[null]
ray,Raytheon Raylink / WebGear Aviator,Integrated,[null],BSD,Christian E. Hopps (NetBSD),[null],[null]
rtw,Realtek RTL8180L,Integrated,[null],BSD,David Young (NetBSD),[null],[null]
rtwn,Realtek RTL8188CE and RTL8192CE,Integrated,[null],BSD,Stefan Sperling (OpenBSD),Ported from OpenBSD,[null]
run,Ralink RT2700U  RT2800U and RT3000U,Integrated,[null],BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,[null]
upgt,Conexant/Intersil PrismGT SoftMAC USB IEEE 802.11b/g,Integrated,[null],BSD,Marcus Glocker (OpenBSD),Ported from OpenBSD,[null]
urtw,Realtek RTL8187B/L,Integrated,[null],BSD,Weongyo Jeong (FreeBSD),Ported from FreeBSD,[null]
urtwn,Realtek RTL8188CUS  RTL8188CE-VAU  RTL8188EUS  RTL8188RU  and RTL8192CU,Integrated,[null],BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,[null]
wi,Lucent Technologies WaveLAN/IEEE and PRISM-II 802.11,Integrated,[null],BSD,Bill Paul,[null],[null]
wpi,Intel PRO/Wireless 3945ABG,Integrated,[null],BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,[null]
zyd,ZyDAS ZD1211/ ZD1211B,Integrated,[null],BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,[null]
