Driver,Chipset,Integration,Free firmware<ref group="note" name="free firmware" />,License,Development,Free software<ref group="note" name="'free software'" />
ath<ref>it's not the same driver that the OpenBSD ath driver it's a port from Madwifi to OpenSolaris</ref><ref>source   I don't know if the HAL can be replaced with OpenHAL</ref>,Atheros AR5211/ AR5212/ AR5213/ AR5214,Integrated with Solaris Nevada build 29,No firmware required<ref name="atheros"/>,Dual GPL/BSD with proprietary HAL,Port of Madwifi,[null]
ipw,Intel PRO/Wireless 2100,Community project,[null],BSD,Ported from OpenBSD,[null]
iwi,Intel PRO/Wireless 2200BG/2225BG/2915ABG,Community project,[null],BSD,Ported from OpenBSD,[null]
pcan,Cisco Aironet 340/350,Community project,[null],BSD,Ported from FreeBSD,[null]
pcwl,Lucent/Agere Systems Hermes (WaveLAN/ORiNOCO)  Intersil PRISM-2 802.11b,Community project,[null],BSD,Ported from FreeBSD,[null]
ral,Ralink RT2500,Community project,[null],BSD,Ported from OpenBSD,[null]
rtw,Realtek RTL8180L,Community project,[null],BSD,Ported from NetBSD,[null]
malo,Marvell 88W8335/ 88W8310,Community project,[null],BSD,Ported from OpenBSD,[null]
wpi,Intel PRO/Wireless 3945ABG,Community project,[null],BSD,Ported from OpenBSD,[null]
iwk,Intel Wireless WiFi Link 4965AGN,Community project,[null],BSD,Ported from OpenBSD,[null]
arn,Atheros 9000,Community project,[null],BSD,based on ath9k,[null]
rwd,Ralink RT2561/RT2561S/RT2661,Community project,[null],BSD,[null],[null]
rwn,Ralink RT2700/2800,Community project,[null],BSD,[null],[null]
urtw,Realtek RTL8187L/B USB,Community project,[null],BSD,[null],[null]
atu,Atmel AT76C50x,Community project,[null],BSD,[null],[null]
mwl,Marvell 88W8363,Community project,[null],BSD,[null],[null]
ural,Ralink RT2500USB,Community project,[null],BSD,[null],[null]
zyd,ZyDAS ZD1211 chipsets,Community project,[null],BSD,Ported from OpenBSD,[null]
