Kernel name,Programming language,Used in,Creator,Executable format (also see section below),Type,Integrated firewall,SMP support,Multiple architecture support (also see section below).,Multitasking,Virtualization,Security,Profiling/Debugging,Soft real-time support,Hard real-time support,Can keep RTC in UT<ref>IBM PC Real Time Clock should run in UT</ref>
Agnix http://agnix.sourceforge.net/,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Amiga Exec,[null],AmigaOS,Commodore International,HUNK,Exokernel (atypical)<ref>The Amiga hardware lacked support for memory protection  so the strong isolation goals of the microkernel design could not be achieved.</ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Amiga Exec SG (2nd Generation),[null],AmigaOS 4,Hyperion Entertainment,ELF/HUNK,Exokernel (atypical),[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
DragonFly BSD kernel,[null],DragonFly BSD,Matt Dillon,ELF,hybrid,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
FreeBSD kernel,[null],FreeBSD  Debian GNU/kFreeBSD  Gentoo/FreeBSD  Orbis OS,The FreeBSD Project,ELF  others - platform dependent,monolithic,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
GNU Hurd http://hurd.gnu.org/,[null],GNU/Hurd (Arch Hurd  Debian GNU/Hurd),GNU Project/Free Software Foundation,ELF,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
GNU Mach https://www.gnu.org/software/hurd/gnumach.html,[null],part of GNU Hurd  used in GNU/Hurd,GNU Project/Free Software Foundation,ELF,microkernel,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Inferno kernel,[null],Inferno,Bell Labs / Vita Nuova Holdings,[null],virtual machine,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
L4,[null],L4,Jochen Liedtke,[null],microkernel,[null],[null],[null],[null],[null],</ref>}},[null],[null],[null],[null]
Linux kernel https://www.kernel.org/,C,Linux  Android  webOS  Firefox OS  Chrome OS  Syllable Server  Mastodon Linux  OpenBSD/Linux  Plan 9/Linux  Sailfish OS  Tizen  others,Linus Torvalds,ELF  others,monolithic,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Compute Node Linux,[null],Compute Node Linux,Cray Inc.,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Mach https://www.cs.cmu.edu/afs/cs/project/mach/public/www/mach.html,[null],NeXTSTEP and OPENSTEP for Mach and Tru64 UNIX,Carnegie Mellon University,Mach-O,microkernel  hybrid kernel,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
MINIX 3 kernel http://www.minix3.org,[null],MINIX 3,Andrew S. Tanenbaum,ELF <ref name=minix3-elf>Supports ELF since version 3.2.0 </ref> a.out<ref name=minix3-a.out-phased-out>a.out will be phased out in coming releases. </ref><ref name=minix3-a.out-utils-removed>Commit to remove a.out utils from minix; only supports running a.out now. </ref>,microkernel,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
MkLinux http://www.mklinux.org,[null],[null],OSF Research Institute and Apple Computer,[null],microkernel,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
NetBSD kernel,[null],NetBSD  GNU/kNetBSD (Debian GNU/NetBSD) ,The NetBSD Project,ELF  others - platform dependent,monolithic  anykernel using rump kernel architecture,[null],[null],[null],[null],[null],[null],[null],[null],<ref></ref>,[null]
NetWare kernel,[null],NetWare,Novell,NLM,hybrid,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
OpenBSD kernel,[null],OpenBSD,OpenBSD developers,ELF  others - platform dependent,monolithic,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
OS/2 kernel,[null],OS/2 version 2 and above,IBM,LX,hybrid,[null],[null],PowerPC version developed but never officially released.,[null],[null],[null],[null],[null],[null],[null]
Plan 9 kernel,[null],Plan 9 from Bell Labs,Bell Labs,[null],hybrid,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
ReactOS kernel,[null],ReactOS,ReactOS Foundation,PE  others?,hybrid,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Rockbox kernel,[null],Rockbox,The Rockbox Project,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
SunOS kernel,[null],SunOS,Sun Microsystems,a.out,monolithic,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
