Vehicle,Origin,Manufacturer,Payload mass to ... (kg),Launches,Date of flight
LEO,GTO,Other,First,Latest,[added]
Alpha,[null],Firefly Aerospace,<ref></ref>,[null],to SSO
Angara 1.2,[null],Khrunichev,<ref name="khru_angara"></ref>,[null],to SSO
Angara A5,[null],Khrunichev,<ref name="khru_angara" />,with KVTK with Briz-M <ref name="khru_angara" />,[null]
Antares 230 / 230+,[null],NG Innovation,<ref name=gunter-antares></ref>,[null],to SSO
Ariane 5 ECA,[null],EADS Astrium,<ref name="ariane5-manual"></ref>,<ref name=sfn-20170602></ref></ref>}},[null]
Ariane 6 A62,[null],ArianeGroup,<ref name="ariane6-manual"></ref>,<ref name=ariane6-manual />,to SSO to HEO to TLI <ref name=ariane6-manual />
Ariane 6 A64,[null],ArianeGroup,<ref name=ariane6-manual />,+ <ref name=ariane6-manual />,to SSO}} to GEO to HEO to TLI <ref name=ariane6-manual />
Atlas V 401,[null],ULA,<ref name="GSP-AtlasV"></ref>,[null],to SSO
Atlas V 411,[null],ULA,<ref name="GSP-AtlasV"/>,[null],to SSO
Atlas V 421,[null],ULA,<ref name="GSP-AtlasV"/>,[null],to SSO
Atlas V 431,[null],ULA,<ref name="GSP-AtlasV"/>,[null],to SSO
Atlas V 501,[null],ULA,<ref name="GSP-AtlasV"/>,[null],to SSO 1.500 to GEO
Atlas V 521,[null],ULA,<ref name="GSP-AtlasV"/>,[null],to SSO 2.760 to GEO
Atlas V 531,[null],ULA,<ref name="GSP-AtlasV"/>,[null],to SSO 3.250 to GEO
Atlas V 541,[null],ULA,<ref name="GSP-AtlasV"/>,[null],to SSO 3.730 to GEO
Atlas V 551,[null],ULA,<ref name="GSP-AtlasV"/>,[null],to SSO 3.960 to GEO
Atlas V N22</ref>}},[null],ULA,[null],[null],[null]
Beta,[null],Firefly Aerospace,<ref></ref>,[null],to SSO
Bloostar,[null],Zero 2 Infinity,<ref name="Bloostar-PUG"></ref>,[null],to SSO<ref name="Bloostar-PUG"/>
Cyclone-4M,[null],Yuzhnoye <br /> Yuzhmash,<ref name="spaceq-20170314"></ref>,<ref name="GSP-Cyclone"></ref>,to SSO<ref name="spaceq-20170314" />
Delta IV Heavy,[null],ULA,<ref name=d4ppg></ref>,[null],to polar to TLI to TMI
Electron,[null],Rocket Lab,<ref name=rocketlab-electron></ref>,[null],to SSO
Epsilon,[null],IHI<ref name=IHIAERO></ref>,<ref name="IHI_Epsilon"></ref>,[null],to SSO
Eris-S,[null],Gilmour Space Technologies,publisher=Gilmour Space Technologies |access-date=1 December 2019}}</ref>,[null],[null]
Eris-L,[null],Gilmour Space Technologies,<ref name=gilmour-launch />,[null],[null]
Falcon 9 Full Thrust (partially reusable),[null],SpaceX,+<ref>https://www.digitaltrends.com/cool-tech/spacex-launches-its-first-batch-of-starlink-internet-satellites/</ref>,<ref name="spacex-capabilities" /></ref>}},to polar<ref></ref>
(expended),[null],SpaceX,<ref name="spacex-capabilities"></ref></ref>}},<ref name=koenigsmann-iac-2018 />–8.300<ref name="spacex-capabilities" />,to TMI
Falcon Heavy (partially reusable),[null],SpaceX,<ref name=reusable-capability></ref>–57.000<ref></ref>,<ref name="spacex-capabilities"/>–10.000,[null]
Falcon Heavy (expended),[null],SpaceX,<ref name="spacex-capabilities"/>,<ref name=koenigsmann-iac-2018 />–26.700<ref name=spacex-capabilities />,to TMI
GSLV Mk II,[null],ISRO,<ref name=GSLV-ISRO />,<ref name="FL20180829"></ref>,[null]
GSLV Mk III,[null],ISRO,<ref></ref>,[null],[null]
H-IIA 202,[null],Mitsubishi,<ref name="MHI-H2A"></ref>,<ref name="MHI-H2A" />,to SSO}} <ref name="MHI-H2A" />
H-IIA 204,[null],Mitsubishi,[null],<ref name="MHI-H2A" />,[null]
H-IIB,[null],Mitsubishi,(ISS)<ref name="MHI-Fleet"></ref>,[null],[null]
