Vehicle,Origin,Manufacturer,Mass to ... (kg),Launches,Date of flight
LEO,GTO,Other,First,Last,[added]
Antares 110–130,[null],Orbital,<ref name=gunter-antares />,[null],to SSO
Ariane 1,[null],Aérospatiale,[null],<ref name="GSP-OldAriane"></ref>,[null]
Ariane 2,[null],Aérospatiale,[null],<ref name="GSP-OldAriane"/>,[null]
Ariane 3,[null],Aérospatiale,[null],<ref name="GSP-OldAriane"/>,[null]
Ariane 4 40,[null],Aérospatiale,<ref name="GSP-OldAriane"/>,[null],to SSO
Ariane 4 42L,[null],Aérospatiale,<ref name="GSP-OldAriane"/>,[null],to SSO
Ariane 4 42P,[null],Aérospatiale,<ref name="GSP-OldAriane"/>,[null],to SSO
Ariane 4 44L,[null],Aérospatiale,<ref name="GSP-OldAriane"/>,[null],to SSO
Ariane 4 44LP,[null],Aérospatiale,<ref name="GSP-OldAriane"/>,[null],to SSO
Ariane 4 44P,[null],Aérospatiale,<ref name="GSP-OldAriane"/>,[null],to SSO
Ariane 5 G,[null],EADS Astrium,<ref name="gsp-ariane5"/>,<ref name="gsp-ariane5"/>,[null]
Ariane 5 G+,[null],EADS Astrium,[null],<ref name="gsp-ariane5"/>,[null]
Ariane 5 GS,[null],EADS Astrium,<ref></ref>,<ref name="gsp-ariane5"/>,[null]
Ariane 5 ES,[null],EADS Astrium,<ref name="ariane5-manual" />,<ref name="gsp-ariane5"/>,[null]
ASLV,[null],ISRO<ref></ref>,<ref name="gsp-aslv" />,[null],[null]
Athena I,[null],Lockheed Martin,<ref></ref>,[null],[null]
Athena II,[null],Lockheed Martin,<ref>NASA  Athena Mission Planner’s Guide 26 August 2012</ref>,[null],[null]
Atlas-Centaur,[null],Lockheed,<ref></ref>,<ref></ref>,[null]
Atlas G,[null],Lockheed,<ref name="GSP-AC"/>,[null],to HCO<ref name="GSP-AC"/>
Atlas H/MSD,[null],Lockheed,<ref>astronautix.com  Atlas H </ref>,[null],[null]
Atlas I,[null],Lockheed Martin,<ref name="GSP-AC"/>,<ref name="GSP-AC"/>,[null]
Atlas II,[null],Lockheed Martin,<ref name="GSP-AC"/>,[null],to HCO<ref name="GSP-AC"/>
Atlas IIA,[null],Lockheed Martin,<ref name="GSP-AC"/>,[null],to HCO<ref name="GSP-AC"/>
Atlas IIAS,[null],Lockheed Martin,<ref name="GSP-AC"/>,[null],to HCO<ref name="GSP-AC"/>
Atlas IIIA,[null],Lockheed Martin,<ref name="GSP-AC"/>,[null],to HCO<ref name="GSP-AC"/>
Atlas IIIB/DEC,}},Lockheed Martin,<ref name="GSP-AC"></ref>,<ref name="GSP-AC"/>,[null]
Atlas IIIB/SEC,[null],Lockheed Martin,<ref>astronautix.com  Atlas IIIB </ref>,<ref name="GSP-AC"/>,[null]
Black Arrow,}},RAE,<ref>Encyclopedia Astronautica  Black Arrow </ref>,[null],[null]
Commercial Titan III,[null],Martin Marietta,<ref>astronautix.com  Titan III </ref>,[null],[null]
Delta 0300,[null],[null],[null],<ref></ref>,to SSO<ref></ref>
Delta 0900,[null],McDonnell Douglas,<ref name="EA-D0900"></ref>,[null],to SSO<ref name="GSP-Delta"/>
Delta 1410,[null],McDonnell Douglas,<ref></ref>,[null],[null]
Delta 1604,[null],McDonnell Douglas,<ref></ref>,[null],[null]
Delta 1900,[null],McDonnell Douglas,<ref name="GSP-Delta"/>,[null],[null]
Delta 1910,[null],McDonnell Douglas,<ref></ref>,[null],[null]
Delta 1913,[null],McDonnell Douglas,<ref></ref>,[null],[null]
Delta 1914,[null],McDonnell Douglas,[null],<ref></ref>,[null]
Delta 2310,[null],McDonnell Douglas,<ref></ref>,[null],[null]
Delta 2313,[null],McDonnell Douglas,[null],[null],to GEO<ref></ref>
Delta 2910,[null],McDonnell Douglas,<ref name="GSP-Delta"/>,[null],[null]
Delta 2913,[null],McDonnell Douglas,<ref name="EA-D2913"></ref>,<ref name="EA-D2913"/>,[null]
Delta 2914,[null],McDonnell Douglas,[null],<ref name="GSP-Delta"/>,[null]
Delta 3910,[null],McDonnell Douglas,<ref name="GSP-Delta"/>,with PAM-D,[null]
Delta 3913,[null],McDonnell Douglas,<ref></ref>,[null],[null]
Delta 3914,[null],McDonnell Douglas,[null],<ref name="GSP-Delta"/>,[null]
Delta 3920,[null],McDonnell Douglas,<ref name="GSP-Delta"/>,with PAM-D,[null]
Delta 3924,[null],McDonnell Douglas,[null],<ref name="GSP-Delta"/>,[null]
Delta 4925,[null],McDonnell Douglas,<ref name="EA-D4000"></ref>,<ref name="GSP-Delta"/>,[null]
Delta 5920,[null],McDonnell Douglas,<ref name="EA-D5000"></ref>,[null],[null]
Delta II 6920,[null],McDonnell Douglas,<ref name="GSP-Delta"/>,[null],[null]
Delta II 6925,[null],McDonnell Douglas,[null],<ref name="GSP-Delta"/>,[null]
Delta II 7320,[null],Boeing IDS / ULA,<ref name="GSP-Delta"/>,[null],to SSO
Delta II 7326,[null],Boeing IDS,[null],<ref name="GSP-Delta"/>,to TLI 629 to HCO
Delta II 7420,[null],ULA,<ref name="GSP-Delta"/>,[null],to SSO
