Engine,Origin,Designer,Vehicle,Use,Propellant,Specific impulse (s),Thrust (N),Mass (kg),Thrust:weight ratio,Chamber pressure (bar),Oxidiser:fuel ratio
Aeon 1,[null],Relativity Space,Terran 1,1st,[[Liquid methane|CH4]] / LOX,[null],(SL)<ref></ref>,[null],[null],[null],[null]
Aeon 1 Vacuum,[null],Relativity Space,Terran 1,2nd,[[Liquid methane|CH4]] / LOX,[null],(SL)<ref></ref>,[null],[null],[null],[null]
AJ-60A,[null],Aerojet,Atlas V,Booster,Solid,[null],<ref name=aerojet-aj60a></ref>,[null],[null],[null],[null]
AR1,[null],Aerojet Rocketdyne,Beta (potential)<ref>http://www.globenewswire.com/news-release/2019/10/18/1932085/0/en/Aerojet-Rocketdyne-and-Firefly-Aerospace-to-Provide-Flexible-Access-to-Space.html</ref>,1st,RP-1 / LOX,[null],(SL)<ref></ref>,[null],[null],[null],[null]
BE-3,[null],Blue Origin,New Shepard,1st,[[Liquid hydrogen|LH2]] / LOX,[null],<ref>https://www.blueorigin.com/engines/be-3</ref>,[null],[null],[null],[null]
BE-3U,[null],Blue Origin,New Glenn,2nd,[[Liquid hydrogen|LH2]] / LOX,[null],<ref>https://www.blueorigin.com/engines/be-3</ref>,[null],[null],[null],[null]
BE-4,[null],Blue Origin,New Glenn Vulcan,1st,[[Liquid methane|CH4]] / LOX,[null],<ref name="sn20140917"></ref><ref name="BE-4"></ref>,[null],[null],<ref name=ars20160309></ref>,[null]
CE-20,[null],LPSC,GSLV Mk III,Upper,[[Liquid hydrogen|LH2]] / LOX,[null],[null],[null],[null],[null],[null]
CE-7.5,[null],LPSC,GSLV Mk II,Upper,[[Liquid hydrogen|LH2]] / LOX,<ref name="CE7.5"></ref>,to,[null],[null],[null],[null]
Engine-2,[null],Launcher Space,Rocket-1,1st,RP-1 / LOX,<ref name=":3"></ref> (SL),<ref name=":3" />,[null],[null],[null],[null]
Engine-2 Vacuum,[null],Launcher Space,Rocket-1,2nd,RP-1 / LOX,<ref name=":3" />,<ref name=":3" />,[null],[null],[null],[null]
GEM 63,[null],Northrop Grumman,Atlas V,Booster,Solid,[null],<ref name=aerojet-gem63></ref>,[null],[null],[null],[null]
GEM 63XL,[null],Northrop Grumman,Atlas V,Booster,Solid,[null],<ref name=aerojet-gem63xl></ref>,[null],[null],[null],[null]
Hadley,[null],Ursa Major Technologies,GOLauncher 1<ref></ref>,1st,RP-1 / LOX,[null],(SL)<ref></ref>,[null],[null],[null],[null]
HM-7B,[null],Snecma,Ariane 2 Ariane 3 Ariane 4 Ariane 5 ECA,Upper,[[Liquid hydrogen|LH2]] / LOX,<ref name="HM7B_Astrium"></ref> (SL)<ref name="HM7B_Astronautix"></ref>,<ref name="HM7B_Astrium" /> (SL)<ref name="HM7B_Astronautix" />,<ref name="HM7B_Astrium" />,[null],<ref name="HM7B_Astrium" />,[null]
LE-5B,[null],Mitsubishi JAXA,H-IIA<br />H-IIB,Upper,[[Liquid hydrogen|LH2]] / LOX,<ref name="LE-5B"></ref>,[null],[null],[null],[null],[null]
