Engine,Origin,Designer,Vehicle,Use,Propellant,Specific impulse (s),Thrust (N),Mass (kg),Thrust:weight ratio,Chamber pressure (bar),Oxidiser:fuel ratio
Aestus,}},Airbus Defence and Space,Ariane 5 G  G+  ES,Upper,[[Dinitrogen tetroxide|N2O4]] / MMH,<ref name="Aestus_Airbus"></ref>,[null],[null],[null],[null],[null]
Aestus II,[null],Airbus Defence and Space,Ariane 5,Upper,[[Dinitrogen tetroxide|N2O4]] / MMH,<ref name="AestusII_Airbus"></ref>,[null],[null],[null],[null],[null]
F-1,[null],Rocketdyne,Saturn V,1st,RP-1 / LOX,(SL),(SL),[null],[null],[null],[null]
F-1A<ref>Alternate Propulsion Subsystem Concepts NAS8-39210 DCN 1-1-PP-02147</ref>,[null],Rocketdyne,[null],1st,RP-1 / LOX,(SL),(SL),[null],[null],[null],[null]
Gamma 2,[null],Bristol Siddeley,Black Arrow,2nd,RP-1 / [[Hydrogen peroxide|H2O2]],<ref name="Gamma2"></ref>,[null],[null],[null],[null],[null]
Gamma 8,[null],Bristol Siddeley,Black Arrow,1st,RP-1 / [[Hydrogen peroxide|H2O2]],<ref name="Gamma8"></ref>,[null],[null],[null],[null],[null]
HM-7A,[null],Snecma,Ariane 1,3rd,[[Liquid hydrogen|LH2]] / LOX,<ref name="HM7A"></ref> (SL),[null],[null],[null],[null],[null]
J-2,[null],Rocketdyne,Saturn V Saturn IB,2nd  3rd,[[Liquid hydrogen|LH2]] / LOX,<ref name="J-2"></ref> (SL),(SL),[null],[null],[null],[null]
J-2X,[null],Pratt & Whitney Rocketdyne,SLS(proposed),Upper,[[Liquid hydrogen|LH2]] / LOX,<ref name="J-2X"></ref>,}},}},[null],}},–4.5
Kestrel,[null],SpaceX,Falcon 1,Upper,RP-1 / LOX,[null],[null],[null],[null],[null],[null]
LE-5,[null],Mitsubishi NASDA,H-I,Upper,[[Liquid hydrogen|LH2]] / LOX,<ref name="LE-5"></ref>,[null],[null],[null],[null],[null]
LE-5A,[null],Mitsubishi NASDA,H-II,Upper,[[Liquid hydrogen|LH2]] / LOX,<ref name="LE-5A"></ref>,[null],[null],[null],[null],[null]
LE-7,[null],Mitsubishi NASDA,H-II,1st,[[Liquid hydrogen|LH2]] / LOX,<ref name="LE-7"></ref>,(SL),[null],[null],[null],[null]
Merlin 1C,[null],SpaceX,[null],1st  2nd,RP-1 / LOX,<ref name="merlin 1c spec"></ref> (SL)<ref name="merlin 1c falcon9"></ref>,<ref name="merlin 1c spec" /> (SL)<ref name="merlin 1c spec" />,[null],<ref name="merlin 1c spec" />,[null],[null]
Merlin 1D,[null],SpaceX,Falcon 9 v1.1,1st,RP-1 / LOX,<ref name="spacexfalcon9Merlinpage"></ref> (SL)<ref name="spacexfalcon9Merlinpage" />,[null],[null],[null],[null],[null]
Merlin Vacuum 1C,[null],SpaceX,[null],2nd,RP-1 / LOX,<ref name="merlin 1c falcon9" />,<ref name="merlin 1c falcon9" />,[null],[null],[null],[null]
RD-0120 11Д122,[null],KBKhA,Energia,1st,[[Liquid hydrogen|LH2]] / LOX,<ref name="RD-0120"></ref>,(SL),[null],[null],[null],[null]
RD-56 (KVD-1) 11Д56У,[null],KBKhM,GSLV Mk I,Upper,[[Liquid hydrogen|LH2]] / LOX,<ref name="KVD1"></ref>,[null],[null],[null],[null],[null]
RD-117 11Д511,[null],NPO Energomash,Soyuz-U,1st,RP-1 / LOX,<ref name="lpre"></ref> (SL),(SL),[null],[null],[null],[null]
RD-118 11Д512,[null],NPO Energomash,Soyuz-U,2nd,RP-1 / LOX,<ref name="lpre" /> (SL),(SL),[null],[null],[null],[null]
RD-17011Д521<ref name="RD-170"></ref>,[null],NPO Energomash,Soyuz-U,1st,RP-1 / LOX,(SL),(SL),[null],[null],[null],[null]
RD-264 11Д119,[null],NPO Energomash,Dnepr,1st,[[Dinitrogen tetroxide|N2O4]] / UDMH,<ref name="RD-264"></ref> (SL),[null],[null],[null],[null],[added]
RD-275 14Д14,[null],NPO Energomash,Proton-M,1st,[[Dinitrogen tetroxide|N2O4]] / UDMH,<ref name="RD-275"></ref> (SL),(SL),[null],[null],[null],[null]
RD-854 8D612,[null],Pivdenne/Pivdenmash,R-36ORB,3rd,[[Dinitrogen tetroxide|N2O4]] / UDMH,[null],[null],[null],[null],[null],[added]
RD-855 8D68M,[null],Pivdenne/Pivdenmash,R-36  Tsyklon-2  Tsyklon-3,1st vernier,[[Dinitrogen tetroxide|N2O4]] / UDMH,[null],[null],[null],[null],[null],[null]
RD-856 8D69M,[null],Pivdenne/Pivdenmash,R-36  Tsyklon-2  Tsyklon-3  (Tsyklon-4),2nd vernier,[[Dinitrogen tetroxide|N2O4]] / UDMH,[null],[null],[null],[null],[null],[null]
RD-861 11D25,[null],Pivdenne/Pivdenmash,Tsyklon-2  Tsyklon-3,3rd,[[Dinitrogen tetroxide|N2O4]] / UDMH,[null],[null],[null],[null],[null],[null]
RD-864 15D177,[null],Pivdenne/Pivdenmash,R-36 (missile)  Dnipro,3rd,[[Dinitrogen tetroxide|N2O4]] / UDMH,high  298 low,high  8.450 low,[null],[null],high/17 low,[null]
RD-869 15D300,[null],Pivdenne/Pivdenmash,R-36M,3rd,[[Dinitrogen tetroxide|N2O4]] / UDMH,high  302.3 low,high  8.580 low,[null],[null],high/17 low,[null]
Space Shuttle Solid Rocket Booster,[null],Thiokol,Space Shuttle Ares I,Booster,PBAN / APCP,[null],(SL),with fuel,[null],[null],[null]
UA1207,[null],United Technologies,Titan IV,Booster,PBAN,<ref name="UA1207"></ref> (SL),(SL),with fuel,[null],[null],[null]
Viking 2,[null],Snecma,Ariane 1,1st,[[Dinitrogen tetroxide|N2O4]] / UDMH,[null],(SL),[null],[null],[null],[null]
Viking 2B,[null],Snecma,Ariane 2 Ariane 3,1st,[[Dinitrogen tetroxide|N2O4]] / UH&thinsp;25,[null],(SL),[null],[null],[null],[null]
Viking 4,[null],Snecma,Ariane 1,2nd,[[Dinitrogen tetroxide|N2O4]] / UDMH,[null],[null],[null],[null],[null],[null]
Viking 4B,[null],Snecma,Ariane 2 Ariane 3 Ariane 4,2nd,[[Dinitrogen tetroxide|N2O4]] / UH&thinsp;25,[null],[null],[null],[null],[null],[null]
Viking 5C,[null],Snecma,Ariane 4,1st,[[Dinitrogen tetroxide|N2O4]] / UH&thinsp;25,[null],(SL),[null],[null],[null],[null]
Viking 6,[null],Snecma,Ariane 4,Booster,[[Dinitrogen tetroxide|N2O4]] / UH&thinsp;25,[null],[null],[null],[null],[null],[null]
Vulcain HM-60,[null],Snecma,Ariane 5,1st,[[Liquid hydrogen|LH2]] / LOX,<ref name="Vulcain_Astrium"></ref> (SL)<ref name="Vulcain_Astronautix"></ref>,<ref name="Vulcain_Astrium" /> (SL)<ref name="Vulcain_Astronautix" />,<ref name="Vulcain_Astronautix" />,[null],<ref name="Vulcain_Astrium" />,[null]
Waxwing,[null],Bristol Aerojet,Black Arrow,Upper,Solid,<ref name="Waxwing"></ref> (SL),(SL),[null],[null],[null],[null]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
