Client,Microsoft Windows,macOS,Linux,BSDs,Solaris,Other
Cain and Abel,[null],[null],[null],[null],[null],[null]
Capsa Free Edition,[null],[null],[null],[null],[null],[null]
Carnivore,[null],[null],[null],[null],[null],[null]
Charles Web Debugging Proxy,[null],[null],[null],[null],[null],[null]
Clusterpoint Network Traffic Surveillance System,[null],[null],[null],[null],[null],Any virtual-machine compatible OS
CommView,[null],[null],[null],[null],[null],[null]
dSniff,[null],[null],[null],[null],[null],[null]
EtherApe,[null],[null],[null],[null],[null],[null]
Ettercap,[null],[null],[null],[null],[null],[null]
justniffer,[null],[null],[null],[null],[null],[null]
Kismet,[null],[null],[null],[null],[null],[null]
LANMeter,[null],[null],[null],[null],[null],Fluke proprietary hardware
netsniff-ng,[null],[null],[null],[null],[null],[null]
ngrep,[null],[null],[null],[null],[null],AIX  BeOS  HP-UX  IRIX  Tru64 UNIX
Microsoft Network Monitor,[null],[null],[null],[null],[null],[null]
Observer,[null],[null],[null],[null],[null],[null]
OmniPeek (formerly AiroPeek  EtherPeek),[null],[null],[null],[null],[null],[null]
SteelCentral Transaction Analyzer,[null],Version 3.5 capture agents on PowerPC only,GUI  plus version 3.5 capture agents,[null],Version 3.5 capture agents on SPARC only,Version 3.5 capture agents on AIX and PA-RISC HP-UX only
snoop,[null],[null],[null],[null],[null],[null]
tcpdump,(WinDump),[null],[null],[null],[null],AIX  HP-UX  IRIX  Tru64 UNIX
Tranalyzer,[null],[null],[null],[null],[null],[null]
Wireshark (formerly Ethereal),[null],[null],[null],[null],[null],AIX  HP-UX  IRIX  Tru64 UNIX
Xplico,[null],[null],[null],[null],[null],[null]
