Product,Manufacturer,Web browser,Wireless synching,Ad hoc,On-demand,Web radio/TV
Archos 5  7,Archos,[null],[null],[null],[null],[null]
Archos 604 WiFi  704 WiFi,Archos,[null],file browsing,[null],[null],[null]
Archos 605 WiFi  705 WiFi,Archos,[null],file browsing,[null],Content Portals,[null]
Archos PMA400,Archos,[null],via FTP,[null],[null],[null]
Cowon Q5W,Cowon,[null],[null],[null],[null],[null]
Ibiza Rhapsody,Haier,[null],[null],[null],[null],radio only
iPod Touch,Apple Inc.,[null],[null],[null],[null],[null]
Samsung Galaxy Player,Samsung,[null],[null],[null],[null],[null]
Sansa Connect,SanDisk,[null],[null],[null],[null],[null]
Sony PSP,Sony,[null],[null],[null],[null],[null]
Sony Walkman X Series,Sony,[null],[null],[null],[null],[null]
ZEN X-Fi,Creative,[null],[null],[null],[null],[null]
Zune 4  8,Microsoft,[null],[null],[null],[null],[null]
Zune 30,Microsoft,[null],[null],[null],[null],[null]
Zune 80  120,Microsoft,[null],[null],[null],[null],[null]
Zune HD,Microsoft,[null],[null],[null],[null],[null]
