Name,FM radio,Microphone,Line-in recording,DVR recording,Playback while charging,USB host,HDMI out
Archos 105,[null],[null],[null],[null],[null],[null],[null]
Archos 405,[null],[null],[null],[null],[null],[null],[null]
Archos 5,With FM remote,With FM remote,With dock,With DVR dock,With dock,[null],[null]
Archos 605 WiFi / GPS,[null],[null],[null],[null],[null],[null],[null]
Archos 705 WiFi,[null],[null],[null],[null],[null],[null],[null]
Cowon A3,[null],[null],[null],[null],[null],[null],[null]
Cowon D2,[null],[null],[null],[null],[null],[null],[null]
Cowon Q5W,[null],[null],[null],[null],[null],[null],[null]
Gigabeat T-Series,[null],[null],[null],[null],[null],[null],[null]
GP2X F-200,[null],[null],[null],[null],[null],[null],[null]
iPod,Nano generations 5 & 6 only,[null],[null],[null],[null],[null],iPod Touch only
iriver clix 2G,[null],[null],No<ref>Line-in recording is possible with the line-in jack on the optional cradle.</ref>,[null],[null],[null],[null]
PSP 1000 Series,[null],[null],[null],[null],[null],[null],[null]
PSP Slim & Lite 2000 Series,[null],Accessory only,[null],[null],[null],[null],[null]
PSP Slim & Lite 3000 Series,[null],[null],[null],[null],[null],[null],[null]
Samsung Galaxy Player,[null],[null],[null],[null],[null],[null],Korean version only
Samsung T10,[null],[null],[null],[null],Power only; no data<ref name="Power only">When the device is connected to a computer with a USB cable  the data lines put the device in a file sync mode where playback cannot occur. However  with adapters such as car chargers where there is no data connection  playback while charging is possible.</ref>,[null],[null]
Samsung P2,[null],[null],[null],[null],Power only; no data<ref name="Power only" />,[null],[null]
Sansa Fuze,[null],[null],[null],[null],Power only; no data<ref name="Power only" />,[null],[null]
Sansa Fuze+,[null],[null],[null],[null],Power only; no data<ref name="Power only" />,[null],[null]
Sansa View,[null],[null],[null],[null],Power only; no data<ref name="Power only" />,[null],[null]
Walkman NWZ-A810 series,[null],[null],[null],[null],[null],[null],[null]
ZEN,[null],[null],[null],[null],[null],[null],[null]
ZEN Vision W,[null],[null],[null],[null],Power only; no data<ref name="Power only" />,[null],[null]
Zune,[null],[null],[null],[null],[null],[null],, Zune HD
Zvue 260,[null],[null],[null],[null],[null],[null],[null]
