Language,Intended use,Imperative,Object-oriented,Functional,Procedural,Generic,Reflective,Event-driven,Other paradigm(s),Standardized?
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
1C:Enterprise,Application  RAD  business  general  web  mobile,[null],[null],[null],[null],[null],[null],[null],Object-based  Prototype-based programming| |- align="center",ActionScript 3.0
Ada,Application  embedded  realtime  system,[null],<ref>Ada Reference Manual  ISO/IEC 8652:2005(E) Ed. 3  3.9 Tagged Types and Type Extensions</ref>,[null],<ref>Ada Reference Manual  ISO/IEC 8652:2005(E) Ed. 3  Section 6: Subprograms</ref>,<ref>Ada Reference Manual  ISO/IEC 8652:2005(E) Ed. 3  Section 12: Generic Units</ref>,[null],[null],concurrent <ref>Ada Reference Manual  ISO/IEC 8652:2005(E) Ed. 3  Section 9: Tasks and Synchronization</ref> distributed <ref>Ada Reference Manual  ISO/IEC 8652:2005(E) Ed. 3 Annex E: Distributed Systems</ref>,, 2005  2012  ANSI  ISO  GOST 27831-88<ref></ref>
Aldor,Highly domain-specific  symbolic computing,[null],[null],[null],[null],[null],[null],[null],[null],[null]
ALGOL 58,Application,[null],[null],[null],[null],[null],[null],[null],[null],[null]
ALGOL 60,Application,[null],[null],[null],[null],[null],[null],[null],[null],, IFIP WG 2.1  ISO<ref>ISO 1538:1984</ref>
ALGOL 68,Application,[null],[null],[null],[null],[null],[null],[null],concurrent,, IFIP WG 2.1  GOST 27974-88 <ref></ref>
Ateji PX,Parallel application,[null],[null],[null],[null],[null],[null],[null],pi calculus,[null]
APL,Application  data processing,[null],[null],[null],[null],[null],[null],[null],array-oriented  tacit,, ISO
Assembly language,General,[null],[null],[null],[null],[null],[null],[null],any  syntax is usually highly specific  related to the target processor,<ref>IEEE 694-1985</ref>
AutoHotkey,GUI automation (macros)  highly domain-specific,[null],<ref>AutoHotkey object protocol and concepts</ref>,[null],[null],[null],[null],[null],[null],[null]
AutoIt,GUI automation (macros)  highly domain-specific,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Ballerina,Integration  agile  server-side  general,[null],[null],[null],[null],[null],[null],[null],concurrent  transactional  statically and strongly typed programming  diagrammatic / visual programming,De facto standard via Ballerina Language Specification<ref></ref>
Bash,Shell  scripting,[null],[null],[null],[null],[null],[null],[null],[null],, but optionally POSIX.2 <ref>POSIX.2  Shell and Utilities  Command Interpreter (IEEE Std 1003.2-1992.) </ref>
BASIC,Application  education,[null],[null],[null],[null],[null],[null],[null],[null],, ANSI  ISO  ECMA
BeanShell,Application  scripting,[null],[null],[null],[null],[null],[null],[null],[null],, JCP<ref>JSR 274</ref>
BLISS,System,[null],[null],[null],[null],[null],[null],[null],[null],[null]
BlitzMax,Application  game,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Boo,Application  game scripting,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Bro,domain-specific  application,[null],[null],[null],[null],[null],[null],[null],[null],[null]
C,Application  system <ref>bell-labs.com</ref> general purpose  low-level operations,[null],[null],[null],[null],[null],[null],[null],[null],, ANSI C89  ISO C90  ISO C99  ISO C11  ISO C18<ref>ANSI C89  ISO/IEC 9899:1990  1999  2011  2018</ref>
C++,Application  system,[null],[null],[null],[null],[null],[null],[null],[null],. ISO/IEC 2003  ISO/IEC 2011 ISO/IEC 2014 ISO/IEC 2017<ref>ISO/IEC 14882:1998  2003  2011  2014  2017</ref>
C#,Application  RAD  business  client-side  general  server-side  web,[null],[null],<ref>Codeproject.com: Functional Programming in C# 3.0 using Lambda Expression</ref>,[null],[null],[null],[null],structured  concurrent,, ECMA  ISO<ref>ECMA-334; ISO/IEC 23270:2006</ref>
Clarion,General  business  web,[null],[null],<ref>Softvelocity.com</ref>,[null],[null],[null],[null],[null],[null]
Clean,General,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Clojure,General,[null],[null],[null],[null],[null],[null],[null],concurrent,[null]
CLU,General,[null],[null],[null],[null],[null],[null],[null],[null],[null]
COBOL,Application  business,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Cobra,Application  business  general  web,[null],[null],[null],[null],[null],[null],[null],[null],[null]
ColdFusion (CFML),Web,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Common Lisp,General,[null],[null],[null],[null],[null],[null],[null],extensible syntax  Array-oriented  syntactic macros  multiple dispatch  concurrent,, ANSI
COMAL 80,Education,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Crystal,General purpose,[null],<ref>https://github.com/crystal-lang/crystal#why</ref>,[null],[null],[null],[null],[null],alpha stage<ref>https://github.com/crystal-lang/crystal#status</ref>,[null]
Cython,Application  general  numerical computing,[null],[null],[null],[null],[null],[null],[null],aspect-oriented,[null]
D,Application  system,[null],[null],[null],[null],[null],[null],[null],generative  concurrent,[null]
Dart,Application  web  server-side  mobile  IoT,[null],[null],[null],[null],[null],[null],[null],structured,[null]
Dylan,Application,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Eiffel,General  application  business  client-side  server-side  web (EWF),[null],[null],<ref>Basic Eiffel language mechanisms</ref><ref>Closure (computer programming)</ref>,[null],[null],Erl-G,Agents,distributed SCOOP  Void-safe,, ECMA  ISO<ref>ECMA-367; ISO/IEC 25436:2006</ref>
Elixir,Application  distributed,[null],[null],[null],[null],[null],[null],[null],concurrent  distributed,[null]
Erlang,Application  distributed,[null],[null],[null],[null],[null],[null],[null],concurrent  distributed,[null]
Euphoria,Application,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Factor,General,[null],[null],can be viewed as,[null],[null],[null],[null],stack-oriented,[null]
FP,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
F#,Application,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Forth,General,[null],[null],can be viewed as,[null],[null],[null],[null],stack-oriented,, ANSI
Fortran,Application  numerical computing,[null],[null],[null],[null],[null],[null],[null],array-based  vectorized  concurrent  native distributed/shared-memory parallelism,, ANSI 66  ANSI 77  MIL-STD-1753  ISO 90  ISO 95  ISO 2003  ISO/IEC 1539-1:2010 (2008)  ISO/IEC JTC1/SC22/WG5 N2145 (2018)
FreeBASIC,Application  numerical computing,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Gambas,Application,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Game Maker Language,Application  games,[null],[null],[null],[null],[null],[null],[null],[null],[null]
GLBasic,Application  games,[null],[null],[null],[null],[null],[null],[null],simple object-oriented,[null]
Go,Application  web  server-side,[null],<ref>The Go Programming Language (FAQ)</ref>,[null],[null],[null],[null],[null],concurrent,via Go Language Specification
Gosu,Application  general  scripting  web,[null],[null],[null],[null],[null],[null],[null],[null],[null]
GraphTalk,Application,[null],[null],[null],[null],[null],[null],[null],logic,[null]
Groovy,Application  general  scripting  web,[null],[null],[null],[null],[null],[null],[null],meta-programming,, JCP<ref>JSR 241</ref>
Harbour,Application  business  data processing  general  web,[null],[null],[null],[null],[null],[null],[null],declarative,[null]
Haskell,Application,[null],[null],[null],[null],[null],[null],[null],lazy evaluation,, Haskell 2010<ref> Most Haskell implementations extend the Haskell 2010 standard.</ref>
Haxe,Application  general  web,[null],[null],[null],[null],[null],[null],[null],[null],[null]
HyperNext,Application  education,[null],[null],[null],[null],[null],[null],[null],weakly typed,[null]
HyperTalk,Application  RAD  general,[null],[null],[null],[null],[null],[null],[null],weakly typed,[null]
Io,Application  host-driven scripting,[null],[null],[null],[null],[null],[null],[null],[null],[null]
IPL,General,[null],[null],[null],[null],[null],[null],[null],[null],[null]
ISLISP,General,[null],[null],[null],[null],[null],[null],[null],[null],, ISO
J,Data processing,[null],[null],[null],[null],[null],[null],[null],array-oriented  function-level  tacit,[null]
JADE,Application  distributed,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Java,Application  business  client-side  general  mobile development  server-side  web,[null],[null],[null],[null],[null],[null],[null],concurrent,via Java Language Specification
JavaScript,Client-side  server-side  web,[null],[null],[null],[null],[null],[null],[null],prototype-based,, ECMA
Joy,Research,[null],[null],[null],[null],[null],[null],[null],stack-oriented,[null]
Julia,General  technical computing,[null],[null],[null],[null],[null],[null],[null],multiple dispatch  meta  scalar and array-oriented  parallel  concurrent  distributed ("cloud"),[null]
K,Data processing  business,[null],[null],[null],[null],[null],[null],[null],array-oriented  tacit,[null]
Kotlin,Application  mobile development  server-side  client-side  web,[null],[null],[null],[null],[null],<ref></ref>,[null],[null],[null]
Ksh,Shell  scripting,[null],[null],[null],[null],[null],[null],[null],several variants  custom programmable  dynamic loadable modules,, POSIX.2 <ref>POSIX.2  Shell and Utilities  Command Interpreter (IEEE Std 1003.2-1992.) </ref>
LabVIEW (G),Application  industrial instrumentation-automation,[null],[null],[null],[null],[null],[null],[null],dataflow  visual,[null]
Lisp,General,[null],[null],[null],[null],[null],[null],[null],[null],[null]
LiveCode,Application  RAD  general,[null],[null],[null],[null],[null],[null],[null],weakly typed,[null]
Logtalk,Artificial intelligence  application,[null],[null],[null],[null],[null],[null],[null],logic,[null]
LSL,Virtual worlds content scripting and animation,[null],[null],[null],[null],[null],[null],[null],Scripts exist in in-world objects,<ref>"De facto" reference is the Second_Life implementation of LSL. Halcyon (Inworldz) and Open Sims propose compatible implementations with additionnal functions </ref>
Lua,Application  embedded scripting,[null],<ref>Lua doesn't have explicit "object" type (more general type of "table" is used for object definition)  but does have explicit syntax for object method calling</ref>,[null],[null],[null],[null],[null],aspect-oriented,<ref>Version releases are accompanied with a definitive Lua Reference Manual showing full syntax and semantics; a reference implementation  and a test suite. These are used to generate other Lua VM implementations and compilers such as Kahlua and LLVM-Lua.</ref>
Maple,Symbolic computation  numerical computing,[null],[null],[null],[null],[null],[null],[null],distributed,[null]
Mathematica,Symbolic language,[null],[null],[null],[null],[null],[null],[null],logic  distributed,[null]
MATLAB,Highly domain-specific  numerical computing,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Modula-2,Application  system,[null],[null],[null],[null],[null],[null],[null],[null],, ISO<ref>ISO/IEC 10514-1:1996</ref>
Modula-3,Application,[null],[null],[null],[null],[null],[null],[null],[null],[null]
MUMPS (M),Application  databases,[null],[null],[null],[null],[null],[null],[null],concurrent  multi-user  NoSQL  transaction processing,, ANSI
Nim,Application  general  web  scripting  system,[null],[null],[null],[null],[null],[null],[null],multiple dispatch  Concurrent  meta,[null]
Oberon,Application  system,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Object Pascal,Application  general  mobile app  web,[null],[null],[null],[null],[null],[null],[null],structured,[null]
Objective-C,Application  general,[null],[null],[null],[null],[null],[null],[null],concurrent,[null]
OCaml,Application  general,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Occam,General,[null],[null],[null],[null],[null],[null],[null],concurrent  process-oriented,[null]
Opa,Web applications,[null],[null],[null],[null],[null],[null],[null],distributed,[null]
OpenLisp,General  Embedded Lisp Engine,[null],[null],[null],[null],[null],[null],[null],[null],, ISO
Oxygene,Application,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Oz-Mozart,Application  distribution  education,[null],[null],[null],[null],[null],[null],[null],concurrent  logic,[null]
Pascal,Application  education,[null],[null],[null],[null],[null],[null],[null],[null],, ISO<ref>ISO 7185</ref>
Perl,Application  scripting  text processing  Web,[null],[null],[null],[null],[null],[null],[null],[null],[null]
PHP,Server-side  web application  web,[null],<ref>PHP Manual  Chapter 19. Classes and Objects (PHP 5) </ref>,<ref>PHP Manual  Chapter 17. Functions</ref>,[null],[null],[null],[null],[null],via language specification and Requests for Comments (RFCs)
PL/I,Application,[null],[null],[null],[null],[null],[null],[null],[null],, ECMA-50 (1976)
Plus,Application  system development,[null],[null],[null],[null],[null],[null],[null],[null],[null]
PostScript,Graphics  page description,[null],[null],[null],[null],[null],[null],[null],concatenative  stack-oriented,, as the PostScript Reference Manual<ref></ref>
PowerShell,Administration  application  general  scripting,[null],[null],[null],[null],[null],[null],[null],pipeline,[null]
Prolog,Application  artificial intelligence,[null],[null],[null],[null],[null],[null],[null],logic  declarative,, ISO/IEC 13211-1:1995  TC1 2007  TC2 2012  TC3 2017
PureBasic,Application,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Python,Application  general  web  scripting  artificial intelligence  scientific computing,[null],[null],[null],[null],[null],[null],[null],aspect-oriented,via Python Enhancement Proposals (PEPs)
R,Application  statistics,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Racket,Education  general  scripting,[null],[null],[null],[null],[null],[null],[null],modular  logic  meta,[null]
Raku,Scripting  text processing  glue,[null],[null],[null],[null],[null],[null],[null],aspect-oriented  array  lazy evaluation  multiple dispatch  metaprogramming,[null]
REALbasic,Application,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Rebol,Distributed,[null],[null],[null],[null],[null],[null],[null],dialected,[null]
RPG,Application  system,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Ruby,Application  scripting  web,[null],[null],[null],[null],[null],[null],[null],aspect-oriented,[null]
Rust,Application  system,[null],<ref>Is Rust an Object-Oriented Programming Language?</ref>,[null],[null],[null],[null],[null],concurrent,[null]
S,Application  statistics,[null],[null],[null],[null],[null],[null],[null],[null],[null]
S-Lang,Application  numerical  scripting,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Scala,Application  distributed  web,[null],[null],[null],[null],[null],[null],[null],[null],via Scala Language Specification (SLS)
Scheme,Education  general,[null],[null],[null],[null],[null],[null],[null],extensible syntax,, R6RS
Seed7,Application  general  scripting  web,[null],[null],[null],[null],[null],[null],[null],multi-paradigm  extensible  structured,[null]
Simula,Education  general,[null],[null],[null],[null],[null],[null],[null],discrete event simulation  multi-threaded (quasi-parallel) program execution,[null]
Small Basic,Application  education  games,[null],[null],[null],[null],[null],[null],[null],component-oriented,[null]
Smalltalk,Application  general  business  artificial intelligence  education  web,[null],[null],[null],[null],[null],[null],[null],concurrent  declarative,, [ANSI
SNOBOL,Text processing,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Standard ML,Application,[null],[null],[null],[null],[null],[null],[null],[null],, SML '97<ref>SMLNJ.org</ref>
Swift,Application  general,[null],[null],[null],[null],[null],[null],[null],concurrent  Multi-paradigm,[null]
Tcl,Application  scripting  web,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Visual Basic,Application  RAD  education  business  general  (Includes VBA)  office automation,[null],[null],[null],[null],[null],[null],[null],component-oriented,[null]
[null],Application  RAD  education  web  business  general,[null],[null],[null],[null],[null],[null],[null],structured  concurrent,[null]
Visual FoxPro,Application,[null],[null],[null],[null],[null],[null],[null],data-centric  logic,[null]
Visual Prolog,Application,[null],[null],[null],[null],[null],[null],[null],declarative  logic,[null]
Wolfram Language,Symbolic language,[null],[null],[null],[null],[null],[null],[null],logic  distributed,[null]
XL,[null],[null],[null],[null],[null],[null],[null],[null],concept programming,[null]
Xojo,Application  RAD  general  web,[null],[null],[null],[null],[null],[null],[null],[null],[null]
XPath/XQuery,Databases  data processing  scripting,[null],[null],[null],[null],[null],[null],[null],tree-oriented,1999 XPath 1  2010 XQuery 1  2014 XPath/XQuery 3.0
Zsh,Shell  scripting,[null],[null],[null],[null],[null],[null],[null],loadable modules,[null]
