Software,Web-based,Hosted On-Premises,SaaS,License,Programming language
2-plan,<ref name="PMI Italy" />,[null],[null],Proprietary  Open source<ref name="2-plan license" />,Java and PHP
24SevenOffice,[null],[null],[null],[null],[null]
Actionspace,[null],[null],[null],[null],[null]
Apache Allura,[null],[null],[null],[null],Python
Apache OFBiz,[null],[null],[null],[null],Java  XML  FreeMarker  Groovy  JavaScript
Apache Bloodhound,[null],[null],[null],[null],Python
Asana,[null],[null],[null],[null],[null]
Assembla,[null],[null],[null],[null],[null]
Axosoft,[null],[null],[null],[null],[null]
Basecamp,<ref name="Teambox_RWW" />,<ref></ref>,[null],[null],Ruby
BigGantt,[null],[null],[null],[null],Java  Angular
BigPicture,[null],[null],[null],[null],Java  Angular
Calligra Plan,[null],[null],[null],[null],C++ and Java
CEITON,[null],[null],[null],[null],ASP.NET  JavaScript
Clarizen,<ref name="pcworld" />,[null],<ref name="pcworld" />,[null],[null]
Collabtive,[null],[null],[null],Open source (core only),PHP
Compuware Changepoint,[null],[null],[null],[null],[null]
ConceptDraw Project,[null],[null],[null],[null],[null]
ConceptDraw PLAN,[null],[null],[null],[null],PHP and Java
Concerto Project Management,[null],[null],[null],[null],[null]
Copper Project,[null],[null],[null],[null],[null]
dotProject,[null],[null],[null],[null],PHP
DynaRoad,[null],[null],[null],[null],[null]
Easy projects,<ref name="VentureBeatEP" />,<ref name="VentureBeatEP" />,<ref name="VentureBeatEP" />,[null],ASP.NET
Eclipse PPM software,[null],[null],[null],[null],[null]
Endeavour Software Project Management,[null],[null],[null],[null],Java
eGroupWare,[null],[null],[null],[null],PHP
enQuire,[null],[null],[null],[null],Java
FastTrack Schedule,[null],[null],[null],[null],[null]
Feng Office Community Edition,[null],[null],[null],[null],PHP
FinancialForce.com,[null],[null],[null],[null],[null]
FogBugz,[null],[null],[null],[null],ASP.NET
Fossil-scm,<ref name="FossilOnWeb" />,<ref name="FossilOnPremises" />,<ref name="FossilSaaS" />,[null],SQLite and C
Freedcamp,[null],[null],[null],[null],[null]
FusionForge,[null],[null],[null],[null],PHP
GanttProject,[null],[null],[null],[null],Java
Genius Project,[null],[null],[null],[null],[null]
Group-Office,[null],[null],[null],[null],[null]
GroveSite,[null],[null],[null],[null],[null]
Hall.com,[null],[null],[null],[null],[null]
Helix ALM,[null],[null],[null],[null],C++
HeySpace,[null],[null],[null],[null],JavaScript
HP Project & Portfolio Software,[null],[null],[null],[null],[added]
Huddle,[null],[null],[null],[null],[null]
Hyperoffice,[null],[null],[null],[null],[null]
iManageProject,[null],[null],[null],[null],[null]
InLoox,[null],[null],[null],[null],[null]
in-Step BLUE,[null],[null],[null],[null],[null]
IRise,[null],[null],[null],[null],Java
Jira,[null],[null],[null],[null],Java
Launchpad,[null],[null],[null],[null],Python
LibrePlan,[null],[null],[null],[null],Java
LiquidPlanner,[null],[null],[null],[null],Ruby
LisaProject,[null],[null],[null],[null],[null]
MacProject,[null],[null],[null],[null],[null]
MantisBT,[null],[null],[null],[null],PHP
MeisterTask,[null],[null],[null],[null],Ruby on Rails  React  Redux
Métier,[null],[null],[null],[null],[null]
Microsoft Dynamics AX,[null],[null],[null],[null],X++
Microsoft Office Project Server,[null],[null],[null],[null],[null]
Microsoft Project,[null],[null],[null],[null],[null]
Microsoft SharePoint Server,[null],[null],[null],[null],[null]
Microsoft Team Foundation Server,[null],[null],[null],[null],[null]
Milestones Professional,[null],[null],[null],[null],C++
Mingle,[null],[null],[null],[null],Ruby on Rails
MyWorkPLAN,[null],[null],[null],[null],[null]
NetPoint,[null],[null],[null],[null],[null]
NetSuite,[null],[null],[null],[null],[null]
O3Spaces,[null],[null],[null],[null],[null]
OmniPlan,[null],[null],[null],[null],[null]
Onepager pro,[null],[null],[null],[null],ASP.NET
Open Workbench,[null],[null],[null],Open source,[null]
OpenProj,[null],[null],[null],[null],Java
OpenProject,[null],[null],[null],[null],Ruby on Rails and AngularJS
OnlyOffice,[null],[null],[null],[null],ASP.NET
Oracle Primavera EPPM (Primavera P6),[null],[null],[null],[null],[null]
phpGroupWare,[null],[null],[null],[null],PHP
PHProjekt,[null],[null],[null],[null],PHP
Pivotal Tracker,[null],[null],[null],[null],Ruby
Plandora,[null],[null],[null],[null],Java
Planisware,[null],[null],[null],[null],[null]
PLANTA Project,[null],[null],[null],[null],[null]
Project Builder,[null],[null],[null],[null],[null]
Project KickStart,[null],[null],[null],[null],[null]
Project Team Builder,[null],[null],[null],[null],[null]
Projector PSA,[null],[null],[null],[null],[null]
ProjectLibre,(Cloud based version under development)<ref name = devel2></ref>,[null],(Included in future plans)<ref></ref>,[null],Java
ProjectManager.com,<ref name="projectmanager" />,[null],[null],[null],[null]
Project.net,[null],[null],[null],[null],Java
Projectplace,[null],[null],[null],[null],[null]
Projektron BCS,[null],[null],[null],[null],Java
ProjeQtOr,[null],[null],[null],[null],PHP
Proliance,[null],[null],[null],[null],[null]
ProjectLink,[null],[null],[null],[null],[null]
Prolog,[null],[null],[null],[null],[null]
Priority Matrix,[null],[null],[null],[null],[added]
Pyrus,[null],[null],[null],[null],[null]
RationalPlan,[null],[null],[null],[null],[null]
Realisor,[null],[null],[null],[null],[null]
Redbooth,<ref name="teambox1" />,[null],<ref name="teambox1" />,;<ref name="teambox2" /> Proprietary (version 4),Ruby on Rails
Redmine,[null],[null],<ref name="RedmineSaas" /><ref name="RedmineSaas2" /><ref name="Peygir" />,[null],Ruby
Rillsoft Project & Integration Server,[null],[null],[null],[null],C++ and PHP
RiskyProject,[null],[null],[null],[null],[null]
SAP Business ByDesign,[null],[null],[null],[null],[null]
Sciforma,[null],[null],[null],[null],[null]
Scoro,[null],[null],[null],[null],PHP<ref></ref>
Seavus Project Viewer (software),[null],[null],[null],[null],C++
Severa,[null],[null],[null],[null],[null]
Smartsheet,[null],[null],[null],[null],PHP
Spider Project,[null],[null],[null],[null],[added]
Streamtime Software,[null],[null],[null],[null],PHP
TACTIC,[null],[null],[null],[null],Python
Talygen,[null],[null],[null],[null],ASP.NET
TaskJuggler,[null],[null],[null],[null],Ruby
Teamcenter,[null],[null],[null],[null],[null]
TeamDynamixHE,[null],[null],[null],[null],[null]
Teamwork.com,[null],[null],[null],[null],[null]
Tom's Planner,[null],[null],[null],[null],[null]
Trac,[null],[null],[null],[null],Python
TrackerSuite.Net,[null],[null],[null],[null],[null]
Traction TeamPage,[null],[null],[null],[null],Java
Trello,[null],[null],[null],[null],CoffeeScript  Backbone.js  HTML5  Mustache templating language  MongoDB  Node.js  Socket.io
Triskell,[null],[null],[null],[null],Java
Tuleap,[null],[null],[null],[null],[null]
Twproject,[null],[null],[null],[null],[null]
UniPhi,[null],[null],[null],[null],ASP.NET
Vpmi,[null],[null],[null],[null],[null]
web2project,[null],[null],[null],[null],PHP
Workamajig,[null],[null],[null],[null],[null]
Workfront,<ref name="Dynamicwp" />,[null],[null],[null],[null]
WorkPLAN Enterprise,[null],[null],[null],[null],[null]
workspace.com,[null],[null],[null],[null],[null]
Wrike,[null],[null],[null],[null],[added]
Zoho Projects,[null],[null],[null],[null],PHP
