NAME,Maximum zoom,Object limit per document,Control point limit,Color management for print,Thumbnails,Adjust Image (functions),Text Recognition (OCR),Scripting support
Easy Trace,12800x,No Limit,[null],[null],[null],[null],[null],[null]
Graphic Tracer Professional,No limit,No limit,No limit,[null],[null],[null],[null],[null]
Illustrator,640x,[null],[null],[null],[null],[null],[null],[null]
Potrace,N/A,[null],[null],[null],[null],[null],[null],[null]
ImageTracer<ref>https://github.com/jankovicsandras</ref>,N/A,No limit,No limit,[null],[null],[null],[null],[null]
Scan2CAD,64K,No limit,No limit,[null],[null],[null],[null],[null]
WinTopo Pro<ref>http://www.wintopo.com/features.htm</ref>,512x,No limit,No limit,[null],[null],[null],[null],[null]
[null],Maximum zoom,Object limit per document,Control point limit,Color management for print,Thumbnails,adjust image (functions),Text Recognition (OCR),Scripting support
[added],[added],[added],[added],[added],[added],[added],[added],[added]
