[null],Description,Creator,First public release date,Latest stable version,Latest Stable Release Date,List Price (USD),Software license
Ability Photopaint,Graphics editor with some advanced features,Ability Software,[null],4,[null],[null],[added]
ACDSee,[null],[null],[null],19,[null],[null],[added]
ACDSee Pro,[null],[null],[null],9,[null],[null],[added]
ACDSee Ultimate,[null],[null],[null],9,[null],[null],[added]
Acorn Image Editor,Image editor and graphics creator for macOS,Flying Meat Inc.,[null],5.6.2,[null],[null],[added]
Adobe Fireworks*,Alternative to Photoshop targeted at web designers  discontinued after CS6,Macromedia,[null],CS6 / 12.0,[null],Discontinued,[null]
Adobe Photoshop,Professional image editor and graphics creation tool,Adobe Systems,[null],CC 2019 / 20.0.4.260,[null],[null],[added]
Adobe Photoshop Elements,Raster graphics editor for entry-level photographers  image editors and hobbyists,[null],[null],14.0,[null],[null],[added]
Adobe Photoshop Lightroom,Photo editor,Adobe Systems,[null],8.2,[null],[null],[added]
Affinity Photo,Professional image editor for Windows  macOS and iOS,Serif Europe,[null],1.6.7,[null],[null],[added]
Autodesk SketchBook Pro,Paint and drawing toolset for use with digitized pen tablets & tablet computers,Autodesk,[null],2016 (4.1),[null],[null],[added]
Artipic,Image editor for Windows and macOS,Artipic AB,[null],2.6,October 30  2017,[null],[added]
ArtRage,Digital paint program for tablet computers,Ambient Design,[null],4.5.1,[null],[null],[added]
Artweaver,Emulates physical painting experience on a computer,Boris Eyrich,[null],3.0,[null],[null],[added]
Bibble*,Photo editor and organizer with camera raw file support,Bibble Labs,[null],5.2,[null],[null],[added]
Bloom Image Editor,Procedural node-based image editor,Sad Cat Software,[null],1.0.181,[null],[null],[added]
Brush Strokes Image Editor,Image editor like Windows Paint,Paul Bird,[null],2.0,[null],[null],[added]
Capture One,Professional raw converter and image editor,Phase One,[null],12,[null],[null],[added]
Chasys Draw IES,Image Editor with layers  animation  icon edit  super-res  batch and camera raw,John Paul Chacha,[null],4.56.01,November 12  2018,[null],[added]
CinePaint,Moving picture  photo and graphics editor,Robin Rowe,[null],2011 (1.0),[null],[null],[added]
CodedColor PhotoStudio Pro,An bitmap graphics editor and image organizer for Windows pc,1STEIN Corp.,[null],6.2,[null],[null],[added]
Corel PaintShop Pro,Advanced image editor and graphics creator,Jasc Software,[null],X7,[null],[null],[added]
Corel Painter,Made to create natural-looking artistic images,Mark Zimmer  Tom Hedges  John Derry,[null],15.1.0.740,[null],[null],[added]
Corel PHOTO-PAINT,Professional image editor and graphics creator with advanced features,Corel Corporation,[null],X7/17,[null],[null],[added]
darktable,Photography workflow application and raw developer,Johannes Hanika,[null],2.0,[null],[null],[added]
Deluxe Paint*,Discontinued basic editor,Dan Silva,[null],5,[null],[null],[added]
Deneba Canvas,Graphics editor and creator supporting both raster graphics and vector graphics.It also work on GIS data.,Jorge Miranda  Joaquin de Soto  Manny Menendez,[null],14,[null],[null],[added]
DigiKam,Free photo organizer and image editor,Renchi Raju  Gilles Caulier,[null],4.10.0,[null],[null],[added]
Digital Photo Professional,Photo organizer and image editor from Canon,Canon Inc.,[null],4.2.10,[null],[null],[added]
Erdas Imagine,Advanced remote sensing and GIS ability; handles multispectral images,ERDAS  Inc.,[null],2016 (16),[null],[null],[added]
Fatpaint,Full featured web-based graphic design and photo editing application,Mersica Inc.,[null],1.99.55,[null],[null],[added]
Fotografix,Freeware  portable image editor,L. Madhavan,[null],1.5,[null],[null],[added]
F-Spot,Image viewer and organizer for GNOME,Ettore Perazzoli,[null],0.8.2,[null],[null],[added]
G'MIC,Free command line software for 2D or 3D image processing and visualization,David Tschumperlé,[null],1.7.9,[null],[null],[added]
GIMP,Free image editor and graphics creator,Spencer Kimball  Peter Mattis,[null],2.10.12,November 8  2018,</ref>}},[added]
GimPhoto,Modification of the free and open-source graphics program GNU Image Manipulation Program (GIMP)  with the intent to be a free alternative to Adobe Photoshop.,Ek Kian,[null],1.4.3,[null],[null],[added]
GIMPshop,GIMP with a GUI similar to Adobe Photoshop,Scott Moschella,[null],2.2.11,[null],[null],[added]
GNU Paint,Free and open-source raster graphics editor,Andy Tai,[null],0.3.3,[null],[null],[added]
GrafX2,GrafX2 with a GUI similar to Deluxe Paint,Sunset Design (Guillaume Dorme  Karl Maritaud),[null],2.5,[null],[null],[added]
GraphicConverter,Image viewer  converter  organizer and editor capable of importing around 200 and exporting 80 different image file types. Compatible with many Photoshop plug-ins,Thorsten Lemke,[null],10,[null],[null],[added]
GraphicsMagick,Commandline image converter and editor,GraphicsMagick Group,[null],1.3.21,[null],[null],[added]
gThumb,Image viewer and organizer for the GNOME desktop environment,Paolo Bacchilega,[null],3.4.0,[null],[null],[added]
HDR PhotoStudio,HDR (High Dynamic Range Editor) with human vision imaging model,Unified Color,[null],2.15.37,[null],[null],[added]
Helicon Filter,Advanced image editor with a simplified tabbed interface,Helicon Soft Ltd.,[null],5.0.28,[null],[null],[added]
ImageJ,Image processing program developed at the National Institutes of Health.,Wayne Rasband (NIH),[null],1.46m,[null],[null],[added]
ImageMagick,Command line software suite for displaying  converting  and editing raster image files,ImageMagick Studio LLC,[null],6.7.7-7,[null],[null],[added]
iPhoto*,Image organizer and basic editor for macOS; replaced by Photos,Apple Inc.,[null],9.6,[null],[null],[added]
IrfanView,Image and video viewer with basic editing functions,Irfan Skiljan,[null],4.44<ref>IrfanView home page</ref>,December 20  2016,[null],[null]
Iridient Developer,Powerful raw image conversion application designed and optimized for macOS,Iridient Digital,[null],3.0.3,[null],[null],[added]
Kolourpaint,[null],KDE,[null],1.2.2,[null],[null],[added]
Krita,Digital painting oriented free and open-source raster graphic editor with vector support. KDE/Calligra based.,KDE,[null],4.2.8,[null],[null],[added]
LazPaint,Free multiplatform layered image editor,circular,[null],6.2,[null],[null],[added]
LiveQuartz,Basic multi-layer photo editor,Romain Piveteau,[null],2.8,December 1  2018,[null],[added]
MacPaint*,Obsolete basic editor,Bill Atkinson,[null],2.0,[null],[null],[added]
Microsoft Office Picture Manager*,Basic image editor,Microsoft,[null],14.0,[null],[null],[added]
Microsoft Paint,Basic graphic creator and editor packaged with Microsoft Windows operating systems,Microsoft,[null],6.1,[null],[null],[added]
Microsoft Photo Editor*,Obsolete basic image editor for Windows,Microsoft,[null],3.01,[null],[null],[added]
mtPaint,pixel art and photo editing application,Mark Tyler,[null],3.40,[null],free,[null]
MyPaint,Digital painting application,Martin Renold,[null],1.2.1,[null],free,[null]
OpenCanvas,[null],Portalgraphics,[null],4,[null],[null],[added]
paint.net,Freeware image editor and graphics creator based on the .Net framework,Rick Brewster  et al.,[null],4.0.19 (for Windows 7 SP1 or newer) / 3.5.11 (the last version to support Windows XP),October 2  2017,<ref name="blog.getpaint.net">http://blog.getpaint.net/2009/11/06/a-new-license-for-paintnet-v35/</ref><ref name="getpaint.net">http://www.getpaint.net/license.html</ref>,[added]
Paint Tool SAI*,Simple and lightweight painting software,Systemax Software,[null],1.2.5,[null],[null],[added]
PC Paintbrush*,Obsolete basic editor,ZSoft Corporation,[null],5,[null],[null],[added]
Pencil2D,2D graphical animation software.,Pascal Naidon,[null],0.4.4,[null],[null],[added]
[added],[added],[added],[added],[added],[added],[added],[added]
Phatch,Editor for batch processing digital graphics and photographs.,Stani Michiels,[null],0.2.7,[null],[null],[added]
Photogenics,Made to create 32-bit HDRs,Idruna Software Inc.,[null],HDR 7.0,[null],[null],[added]
PhotoLine,Image editor with advanced features,Computerinsel (Germany),[null],20.53,2018,€59,[null]
PhotoPerfect*,Image editor with some advanced features,Arcadia Software AG  Joachim Koopmann Software,[null],2.9,[null],[null],[added]
Photos,Image organizer and basic editor for macOS; replaced iPhoto from OS X 10.10.3 onwards,Apple Inc.,[null],1.0,[null],[null],[added]
Photo Raster,Advanced online photo editor,David Levinsky,[null],0.9,[null],[null],[added]
Picasa*,Efficient image organizer with basic editing tools  other image effects,Google,[null],3.9.141.259,[null],Discontinued,[null]
PicMaster,Has 300 filter effects  slide show  poster printing  mosaics  true 3D  more,Alexander Sabov,[null],4.03,[null],[null],[added]
Pinta,Mid-level Free and Open Source raster graphics editor  based on Paint.Net,Jonathan Pobst,[null],1.5,[null],[null],[added]
PixBuilder Photo Editor,[null],WnSoft Graphic Software,[null],1.31,[null],[null],[added]
Pixelmator,Image editor and graphics creator for macOS,Pixelmator Team ltd.,[null],3.0,[null],[null],[added]
Pixen,Pixel art and sprite editor for macOS,Open Sword Group,[null],3.8,[null],[null],[added]
Pixia,Originally designed for Anime/Manga art.,Isao Maruoka,[null],4.70d,[null],[null],[added]
PMview,Fast image viewer with basic editing functions,Peter Nielsen,[null],3.80 (2017),[null],[null],[added]
Project Dogwaffle,Dan Ritchie retired but others continue active development<ref name="gi_3">According to an official message on the developer's home page  the author suspended development of Project Dogwaffle due to religious reasons. Except for the message and a link to the continued development  no download or documentation remain on the website. Third-party shareware developers and vendors online sell licensed actively developed versions of Project Dogwaffle software. Later versions are called PD Pro x (x=version number)</ref>,Dan Ritchie,[null],2011 (7.0) (1.2 available as freeware),[null],[null],[added]
QFX,Mature and complete image editing package,Ron Scott,[null],8,[null],[null],[added]
Rawstudio,Raw image processor.,Anders Brander & Anders Kvist,[null],2.0,[null],[null],[added]
RawTherapee,Powerful free and cross-platform raw image editor  for developing raw photos from digital cameras.,Gabor Horvath,[null],4.0.11,[null],[null],[added]
Seashore,Basic counterpart to GIMP  using its XCF format; full support for a few graphics formats,Mark Pazolli,[null],2.4.0,[null],[null],[added]
Serif PhotoPlus,Complete editor and photo organizer suite; similar features and menus to other software from Serif; available as economy version or in bundle with clipart  effects  public domain image library; made for easy use,Serif,[null],X8,[null],[null],[added]
Shotwell,Image organizer for GNOME,Yorba Foundation,[null],0.12.3,[null],[null],[added]
Tux Paint,Drawing program for young children.,Bill Kendrick,[null],0.9.21,[null],[null],[added]
TVPaint,2D animation software,Herve ADAM,[null],9.5.11,[null],[null],[added]
UFRaw,Raw image format processor,Udi Fuchs,[null],0.22,[null],[null],[added]
Ulead PhotoImpact*,[null],Ulead Systems,[null],12,[null],[null],[added]
Ultimate Paint*,Basic graphics editor based on Deluxe Paint,Joseph Ladanyi  Daniel Szabo,[null],2.88,[null],[null],[added]
WinImages,Animation-centric,Black Belt Systems,[null],7.5,[null],[null],[added]
Xara Photo & Graphic Designer,Graphic design program including photo editing and vector illustration tools,Xara,(Windows),9,[null],[null],[added]
XnView,Cross-platform image viewer used for converting  organising and editing graphical & video files.,Pierre-emmanuel Gougelet,(1.06),2.20 (Windows)/0.64 (Linux  macOS),[null],[null],[added]
XPaint,Simple Drawing program for Unix/X11 with Xaw3d widgets,David Koblas  Torsten Martinsen  Jean-Pierre Demailly,[null],2.9.10.3,[null],[null],[added]
Zoner Photo Studio,All-in-one editor package,Zoner Inc.,[null],11.0 build 8,[null],[null],[added]
