[null],sRGB,Adobe sRGB,Indexed,Grayscale,CMYK,LAB,HSV
Ability Photopaint,[null],[null],[null],[null],[null],[null],[null]
ACD Canvas,[null],[null],[null],[null],[null],[null],[null]
ACDSee (Win),[null],[null],[null],[null],[null],[null],[null]
Acorn Image Editor,[null],[null],[null],[null],[null],[null],[null]
Adobe Fireworks*,[null],[null],[null],[null],[null],[null],[null]
Adobe Photoshop,[null],[null],[null],[null],[null],[null],[null]
Adobe Photoshop Lightroom,[null],[null],[null],[null],[null],[null],[null]
Affinity Photo,[null],[null],[null],[null],[null],[null],[null]
Autodesk SketchBook Pro,[null],[null],[null],[null],[null],[null],[null]
Artipic,[null],[null],[null],[null],[null],[null],[null]
ArtRage,[null],[null],[null],[null],[null],[null],[null]
Artweaver,[null],[null],[null],[null],[null],[null],[null]
Bibble*,[null],[null],[null],[null],[null],[null],[null]
Brush Strokes Image Editor,[null],[null],[null],[null],[null],[null],[null]
Capture One,[null],[null],[null],[null],[null],[null],[null]
Chasys Draw IES,[null],[null],[null],[null],[null],[null],[null]
CinePaint,[null],[null],[null],[null],[null],[null],[null]
CodedColor PhotoStudio Pro,[null],[null],[null],[null],[null],[null],[null]
Corel PaintShop Pro,[null],[null],[null],[null],[null],<ref name="sp" />,<ref name="sp">Split to channels</ref>
Corel Painter,[null],[null],[null],[null],[null],[null],[null]
Corel Photo-Paint,[null],[null],[null],[null],[null],[null],[null]
darktable,[null],[null],[null],[null],[null],[null],[null]
Deluxe Paint*,[null],[null],[null],[null],[null],[null],[null]
Erdas Imagine,[null],[null],[null],[null],[null],[null],[null]
Fatpaint,[null],[null],[null],[null],[null],[null],[null]
Fotografix,[null],[null],[null],[null],[null],[null],[null]
GIMP,[null],[null],[null],[null],<ref name="gimp_cmyk" />,<ref name="sp" />,[null]
GIMPshop,[null],[null],[null],[null],<ref name="gimp_cmyk">Via the Separate+ plug-in</ref>,[null],[null]
GrafX2,[null],[null],[null],[null],[null],[null],[null]
GraphicConverter,[null],[null],[null],[null],[null],[null],[null]
Helicon Filter,[null],[null],[null],[null],[null],[null],[null]
iPhoto*,[null],[null],[null],[null],[null],[null],[null]
IrfanView,[null],[null],[null],[null],[null],[null],[null]
Iridient Developer,[null],[null],[null],[null],[null],[null],[null]
Kolourpaint,[null],[null],[null],[null],[null],[null],[null]
Krita,[null],[null],[null],[null],[null],[null],[null]
MacPaint*,[null],[null],[null],[null],[null],[null],[null]
Microsoft Office Picture Manager*,[null],[null],[null],[null],[null],[null],[null]
Microsoft Paint,[null],[null],[null],[null],[null],[null],[null]
Microsoft Photo Editor*,[null],[null],[null],[null],[null],[null],[null]
mtPaint,[null],[null],[null],[null],[null],[null],[null]
OpenCanvas,[null],[null],[null],[null],[null],[null],[null]
Paint.NET,[null],[null],[null],[null],[null],[null],[null]
Paint Tool SAI,[null],[null],[null],[null],[null],[null],[null]
PC Paintbrush*,[null],[null],[null],[null],[null],[null],[null]
Photogenics,[null],[null],[null],[null],[null],[null],[null]
PhotoLine,[null],[null],[null],[null],[null],[null],[null]
PhotoPerfect*,[null],[null],[null],[null],[null],[null],[null]
Photos,[null],[null],[null],[null],[null],[null],[null]
Photo Raster,[null],[null],[null],[null],[null],[null],[null]
Picasa*,[null],[null],[null],[null],[null],[null],[null]
PicMaster,[null],[null],[null],[null],[null],[null],[null]
PixBuilder Photo Editor,[null],[null],[null],[null],[null],[null],[null]
Pixelmator,[null],[null],[null],[null],[null],[null],[null]
Pixia,[null],[null],[null],[null],[null],[null],[null]
Project Dogwaffle,[null],[null],[null],[null],[null],[null],[null]
QFX,[null],[null],[null],[null],[null],[null],[null]
RawTherapee,[null],[null],[null],[null],[null],[null],[null]
Seashore,[null],[null],[null],[null],[null],[null],[null]
Serif PhotoPlus,[null],[null],[null],[null],[null],[null],[null]
Tux Paint,[null],[null],[null],[null],[null],[null],[null]
TVPaint,[null],[null],[null],[null],[null],[null],[null]
Ulead PhotoImpact*,[null],[null],[null],[null],[null],[null],[null]
Ultimate Paint*,[null],[null],[null],[null],[null],[null],[null]
WinImages,[null],[null],[null],[null],[null],[null],[null]
Xara Photo & Graphic Designer,[null],[null],[null],[null],[null],[null],[null]
XnView,[null],[null],[null],[null],[null],[null],[null]
XPaint,[null],[null],[null],[null],[null],[null],[null]
Zoner Photo Studio,[null],[null],[null],[null],[null],[null],[null]
