[null],TGA,RAW imports,BMP,GIF,JPEG,JPEG 2000,HD Photo,PNG,TIFF,PSD,PSP,XCF,PCX,ORA,HEIF
Ability Photopaint,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
ACD Canvas,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
ACDSee (Win),[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Acorn Image Editor,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Adobe Fireworks*,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Adobe Photoshop,[null],[null],[null],[null],[null],<ref name="ft_1">Photoshop requires an optional plug-in from the installation disc to support JPEG 2000.</ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Adobe Photoshop Lightroom,[null],[null],[null],<ref name="lr_p">Requires the Any File plug-in</ref>,[null],<ref name="lightroom-plugins.com"></ref>,[null],<ref name="lr_p" />,[null],<ref name="ft_2">To import and work with a multi-layered PSD file in Lightroom  the file must be saved in Photoshop with the Maximize PSD and PSB File Compatibility preference turned on.</ref>,[null],[null],[null],[null],[null]
Affinity Photo,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Autodesk SketchBook Pro,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Artipic,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
ArtRage,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Artweaver,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Bibble*,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Brush Strokes Image Editor,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Capture One,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Chasys Draw IES,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
CinePaint,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
CodedColor PhotoStudio Pro,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Corel PaintShop Pro,[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref name="cpsp">No layer modes support</ref>,[null],[null],[null],[null],[null]
Corel Painter,[null],[null],[null],[null],[null],[null],[null],[null],<ref name="ft_3">Corel Painter does not support TIFF with LZW compression.</ref>,[null],[null],[null],Import,[null],[null]
Corel Photo-Paint,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
darktable,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Deluxe Paint*<ref name="ft_4">Deluxe Paint can load and save only IFF ILBM file format.</ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
DigiKam,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Erdas Imagine,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Import,[null],[null]
Fatpaint,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Fotografix,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
GIMP,<ref>Available since at least 2.6.x</ref>,[null],[null],[null],[null],<ref>Native support added in version 2.8</ref>,<ref name="JPEG XR">Requires the JPEG XR plug-in</ref>,[null],<ref>Full native support added in version 2.10.12. Previous versions only supported single pages</ref>,[null],[null],[null],[null],[null],<ref>Available since 2.10.2</ref>
GIMPshop,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
GrafX2,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
GraphicConverter,[null],<ref name="ft_5">Many RAW images can be imported  but are reduced to 8 bits per color channel.</ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref name="ft_6">GraphicConverter requires macOS or later with installed Image Magick application of the Fink package or any other distribution in order to support XCF.</ref>,[null],[null],[null]
HDR PhotoStudio,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Helicon Filter,[null],[null],[null],Import,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
ImageMagick,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
iPhoto*,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
IrfanView,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Iridient Developer,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Kolourpaint,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Import,[null],[null],[null]
Krita,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Import,[null],[null]
LiveQuartz,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
LazPaint,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
MacPaint*,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Microsoft Office Picture Manager*,[null],[null],[null],[null],[null],[null],[null],[null],<ref name="ft_8">Microsoft Office Picture Manager and Paint.NET only support TIFF for viewing and editing of the first page.</ref>,[null],[null],[null],[null],[null],[null]
Microsoft Paint,[null],[null],[null],<ref name="MS Paint Transparency">MS Paint doesn't support transparency in GIF or PNG</ref>,[null],[null],[null],<ref name="MS Paint Transparency"/>,[null],[null],[null],[null],[null],[null],[null]
Microsoft Photo Editor*,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Import,[null],[null]
mtPaint,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
OpenCanvas,[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref name="ft_9">PSD is supported only in openCanvas 4 Plus  not regular openCanvas 4.</ref>,[null],[null],[null],[null],[null]
Paint.NET,[null],[null],[null],[null],[null],[null],<ref name="ft_10">Paint.NET 3.08 supports import/export of images in HD Photo lossy & lossless format via a file-type plug-in based on a Microsoft HD Photo specification; it expires on September 1  2007 or if the Paint.NET version is 3.20 or higher. The developers hope tentatively plan to implement full HD Photo support by version 3.20.</ref>,[null],<ref name="ft_11">The free plug-ins needed for JPEG 2000  PSD  and XCF support can be found on Paint.NET's website .</ref>,[null],[null],[null],[null],[null],[null]
Paint Tool SAI,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
PC Paintbrush*,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Photogenics,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
PhotoLine,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
PhotoPerfect*,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Photos,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Photo Raster,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Picasa*,[null],[null],Import,Import,[null],[null],[null],Import,[null],Import,[null],[null],[null],[null],[null]
PicMaster,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
PixBuilder Photo Editor,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Pixelmator,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Pixia,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
PMview,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Project Dogwaffle,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
QFX,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
RawTherapee,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Seashore,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Serif PhotoPlus,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Tux Paint<ref name="ft_12">For the BMP  JPEG and PNG formats  the user is sandboxed in an interface that does not permit file system interaction  including viewing of filenames and the choice of a file's name  type  or location. Files are selected by thumbnails  and may only be loaded from one predetermined directory.</ref>,[null],[null],[null],Import,Import,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
TVPaint,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Ulead PhotoImpact*,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Import,[null],[null],[null],[null]
Ultimate Paint*,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
WinImages,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Xara Photo & Graphic Designer,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
XnView,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Import,[null],[null],[null]
XPaint,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Zoner Photo Studio,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
