Software,BibTeX,Endnote/Refer/BibIX,Medline,MODS XML,RIS,Other
Bebop,[null],[null],[null],[null],[null],[null]
BibBase,[null],[null],[null],[null],[null],[null]
BibDesk,[null],[null],[null],[null],[null],[null]
BibSonomy,[null],[null],[null],[null],[null],[null]
Bibus,[null],[null],[null],[null],[null],[null]
Bookends,[null],[null],[null],[null],[null],[null]
Citavi,[null],[null],[null],[null],[null],[null]
CiteULike,[null],[null],[null],[null],[null],[null]
colwiz,[null],[null],[null],[null],[null],[null]
EndNote,[null],[null],[null],[null],[null],</ref>}}
F1000Workspace,[null],[null],[null],[null],[null],[null]
JabRef,[null],[null],[null],[null],[null],[null]
KBibTeX,[null],[null],[null],<ref name="bibutils">Supported through the bibutils plugin</ref>,[null],[null]
Mendeley,[null],[null],[null],[null],[null],[null]
Paperpile,[null],[null],[null],[null],[null],[null]
Pybliographer,[null],[null],[null],[null],[null],[null]
ReadCube (now Papers),[null],[null],[null],[null],[null],[null]
Qiqqa,[null],[null],[null],[null],[null],[null]
refbase,[null],[null],[null],[null],[null],[null]
RefDB,[null],[null],[null],[null],[null],[null]
Reference Manager,[null],[null],[null],[null],[null],[null]
Referencer,[null],[null],[null],[null],[null],[null]
RefWorks,[null],[null],[null],[null],[null],[null]
SciRef,[null],[null],[null],[null],[null],[null]
Sente,[null],[null],[null],[null],[null],[null]
Wikindx,[null],[null],[null],[null],[null],[null]
WizFolio,[null],[null],[null],[null],[null],[null]
Zotero,[null],[null],<ref></ref>,[null],[null],[null]
