Software,Word for Windows,Word for Mac,Pages,Apache OpenOffice / LibreOffice,Kile/LyX,Google Docs,RTF scan<ref name="Reformat RTF">Can reformat references in a properly saved RTF document  allowing limited use in OpenOffice.org Writer  StarOffice  FrameMaker  Microsoft Works  WordPad  WordPerfect  Google Docs and others.</ref>,Other
Bebop,[null],[null],[null],[null],[null],[null],[null],[null]
BibBase,[null],[null],[null],[null],[null],[null],[null],[null]
BibDesk,[null],[null],[null],[null],[null],[null],[null],[null]
Biblioscape,[null],[null],[null],[null],[null],[null],[null],[null]
BibSonomy,[null],[null],[null],[null],[null],[null],[null],[null]
Bibus,[null],[null],[null],[null],[null],[null],[null],[null]
Bookends,[null],[null],[null],[null],[null],[null],[null],[null]
Citavi,[null],[null],[null],[null],<ref>Detailed setup guide "Citavi + LyX". Citavi. Retrieved 2014-07-10.</ref>,[null],[null],[null]
CiteULike,[null],[null],[null],[null],[null],[null],[null],[null]
colwiz,[null],[null],[null],[null],[null],[null],[null],[null]
EndNote,[null],[null],[null],<ref></ref>,[null],[null],[null],[null]
F1000Workspace,[null],[null],[null],[null],[null],[null],[null],[null]
JabRef,<ref>See JabRef FAQ: Field Mapping between MS-Office and JabRef.</ref>,[null],[null],<ref>See JabRef FAQ: OpenOffice/LibreOffice integration.</ref>,[null],[null],[null],[null]
KBibTeX,[null],[null],[null],[null],[null],[null],[null],[null]
Mendeley,[null],<ref>Requires the Desktop App open to choose references.</ref>,[null],[null],[null],[null],[null],[null]
Paperpile,[null],[null],[null],[null],[null],[null],[null],[null]
Pybliographer,[null],[null],[null],[null],[null],[null],[null],[null]
Qiqqa,[null],[null],[null],[null],[null],[null],[null],[null]
ReadCube (now Papers),[null],[null],[null],[null],[null],[null],[null],[null]
refbase,[null],[null],[null],<ref>Refbase can create a spreadsheet for import into an OO.o database to use the native OO.o bibliography tool. Refbase's MySQL database can additionally be used directly by OO.o http://wiki.refbase.net/index.php/OO.o_Writer_integration.</ref>,[null],[null],[null],[null]
RefDB,[null],[null],[null],[null],[null],[null],[null],[null]
Reference Manager,[null],[null],[null],[null],[null],[null],[null],[null]
Referencer,[null],[null],[null],[null],[null],[null],[null],[null]
RefWorks,[null],[null],[null],[null],[null],[null],[null],[null]
SciRef,[null],[null],[null],[null],[null],[null],[null],[null]
Sente,[null],[null],[null],[null],[null],[null],[null],[null]
Wikindx,[null],[null],[null],[null],[null],[null],[null],[null]
WizFolio,[null],[null],[null],[null],[null],[null],[null],[null]
Zotero,[null],[null],[null],[null],[null],[null],[null],[null]
