Software,ArXiv,CiteSeer,IEEE Xplore,PubMed,Other
Bebop,[null],[null],[null],[null],[null]
BibBase,[null],[null],[null],[null],[null]
BibDesk,[null],[null],[null],[null],[null]
Biblioscape,[null],[null],[null],[null],[null]
BibSonomy,[null],[null],[null],[null],</ref>}}
Bibus,[null],[null],[null],[null],[null]
Bookends,[null],[null],[null],[null],[null]
Citavi,[null],[null],[null],[null],.
CiteULike,[null],[null],[null],[null],[null]
colwiz,[null],[null],[null],[null],[null]
EndNote,[null],[null],[null],[null],</ref> any Z39.50 }}
F1000Workspace,[null],[null],[null],[null],[null]
JabRef,[null],[null],[null],[null],[null]
KBibTeX,[null],[null],[null],[null],[null]
Mendeley,[null],[null],[null],[null],[null]
Paperpile,[null],[null],[null],[null],[null]
Pybliographer,[null],[null],[null],[null],[null]
Qiqqa,[null],[null],[null],[null],[null]
ReadCube (now Papers),[null],[null],[null],[null],[null]
refbase,[null],[null],[null],[null],[null]
RefDB,[null],[null],[null],[null],[null]
Reference Manager,[null],[null],[null],[null],</ref>}}
Referencer,[null],[null],[null],[null],[null]
RefWorks,[null],[null],[null],[null],[null]
SciRef,[null],[null],[null],[null],[null]
Sente,[null],[null],[null],[null],[null]
Wikindx,[null],[null],[null],[null],[null]
WizFolio,[null],[null],[null],[null],</ref>}}
Zotero,[null],[null],[null],[null],</ref>}}
