Database Name,ACID,Referential integrity,Transactions,Fine-grained locking,Multiversion concurrency control,Unicode,Interface,Type inference
4th Dimension,[null],[null],[null],[null],[null],[null],GUI & SQL,[null]
ADABAS,[null],[null],[null],[null],[null],[null],proprietary direct call & SQL (via 3rd party),[null]
Adaptive Server Enterprise,[null],[null],[null],(Row-level locking),Yes,[null],API & GUI & SQL,[null]
Advantage Database Server,[null],[null],[null],(Row-level locking),[null],4,API & SQL,[null]
Altibase,[null],[null],[null],(Row-level locking),[null],[null],API & GUI & SQL,[null]
Apache Derby,[null],[null],[null],(Row-level locking) <ref>Derby Developer's Guide (10.14)>Lock granularity</ref>,[null],[null],SQL,[null]
ClustrixDB,[null],[null],[null],[null],[null],[null],SQL,[null]
CUBRID,[null],[null],[null],(Row-level locking),[null],[null],GUI & SQL,[null]
DB2,[null],[null],[null],(Row-level locking)<ref>DB2 for Linux UNIX and Windows 9.7.0>Fundamentos de DB2>Performance tuning>Factors affecting performance>Application design>Concurrency issues>Isolation levels</ref>,[null],[null],GUI & SQL,[null]
Empress Embedded Database,[null],[null],[null],[null],[null],[null],API & SQL,[null]
EXASolution,[null],[null],[null],[null],[null],[null],API & GUI & SQL,[null]
Firebird,[null],[null],[null],[null],[null],[null],API & SQL,[null]
HSQLDB,[null],[null],[null],[null],[null],[null],SQL,[null]
H2,[null],[null],[null],[null],<ref>http://www.h2database.com/html/advanced.html#mvcc</ref>,[null],SQL,[null]
Informix Dynamic Server,[null],[null],[null],(Row-level locking),[null],[null],SQL  REST  and JSON,[null]
Ingres,[null],[null],[null],[null],[null],[null],SQL & QUEL,[null]
InterBase,[null],[null],[null],[null],[null],[null],SQL,[null]
Linter SQL RDBMS,[null],[null],(Except for DDL),(Row-level locking),[null],[null],API & GUI & SQL,[null]
LucidDB,[null],[null],[null],[null],[null],[null],SQL,[null]
MariaDB,2,6,2 except for DDL<ref name="Transactional DDL in PostgreSQL">Transactional DDL in PostgreSQL: A Competitive Analysis</ref><ref name="Transactional DDL in MariaDB">Transactional DDL in MariaDB</ref>,(Row-level locking),[null],[null],SQL,[null]
MaxDB,[null],[null],[null],[null],[null],[null],SQL,[null]
Microsoft Access (JET),[null],[null],[null],[null],[null],[null],GUI & SQL,[null]
Microsoft Visual FoxPro,[null],[null],[null],(Row-level locking SMB2),[null],[null],GUI & SQL,[null]
Microsoft SQL Server,[null],[null],[null],(Row-level locking)<ref>SQL Server Transaction Locking and Row Versioning Guide</ref>,[null],[null],GUI & SQL,[null]
Microsoft SQL Server Compact (Embedded Database),[null],[null],[null],[null],[null],[null],GUI & SQL,[null]
Mimer SQL,[null],[null],[null],(Optimistic locking),[null],[null],API & GUI & SQL,[null]
MonetDB,[null],[null],[null],[null],[null],[null],API & SQL & MAL,[null]
MySQL,2,3,2 except for DDL<ref name="Transactional DDL in PostgreSQL"/>,(Row-level locking)<ref>MySQL :: MySQL 5.6 Reference Manual :: 8.10.1 Internal Locking Methods</ref>,[null],[null],GUI 5 & SQL,[null]
OpenBase SQL,[null],[null],[null],[null],[null],[null],GUI & SQL,[null]
OpenEdge,[null],7,[null],(Row-level locking),[null],[null],GUI & SQL,[null]
OpenLink Virtuoso,[null],[null],[null],[null],[null],[null],API & GUI & SQL,[null]
Oracle,[null],[null],except for DDL<ref name="Transactional DDL in PostgreSQL" />,(Row-level locking)<ref>Oracle Row Lock and Row Level Locking</ref>,[null],[null],API & GUI & SQL,[null]
Oracle Rdb,[null],[null],[null],[null],[null],[null],SQL,[null]
Pervasive PSQL,[null],[null],[null],[null],[null],6,API & GUI & SQL,[null]
Polyhedra DBMS,[null],[null],[null],(optimistic and pessimistic cell-level locking)<ref>[developer.polyhedra.com/history/polyhedra-8-7 Polyhedra 8.7 new headline feature: locking]</ref>,[null],[null],API & SQL,[null]
PostgreSQL,[null],[null],[null],(Row-level locking)<ref>PostgreSQL: Documentation: devel: Explicit Locking</ref>,[null],[null],API & GUI & SQL,<ref>BUG #5974: UNION construct type cast gives poor error message</ref>
Raima Database Manager,[null],[null],[null],[null],[null],[null],SQL & API,[null]
RDM Server,[null],[null],[null],[null],[null],[null],SQL & API,[null]
SAP HANA,[null],[null],[null],(Row-level locking),[null],[null],API & GUI & SQL,[null]
solidDB,[null],[null],[null],(Row-level locking),[null],[null],API & SQL,[null]
SQL Anywhere,[null],[null],[null],SAP SQL Anywhere Reference - Types of Lock</ref>,<ref>| SAP SQL Anywhere Reference - Snapshot Isolation</ref>,[null],API & GUI & HTTP(S) (REST & SOAP)<ref>https://help.sap.com/viewer/98ad9ec940e2465695685d98e308dff5/17.0/en-US/3bd460b56c5f10148922c11d39abc0b3.html | SAP SQL Anywhere Reference - HTTP Web Services</ref> & SQL,[null]
SQLBase,[null],[null],[null],[null],[null],[null],API & GUI & SQL,[null]
SQLite,[null],[null],[null],(Database-level locking)<ref>File Locking And Concurrency In SQLite Version 3</ref>,[null],<ref>SQLite Full Unicode support is optional and not installed by default in most systems (like Android  Debian…)</ref>,API & SQL,[null]
Teradata,[null],[null],[null],(Hash and Partition),[null],[null],SQL,[null]
Tibero,[null],[null],[null],(Row-level locking),[null],[null],API & GUI & SQL,[null]
UniData,[null],[null],[null],[null],[null],[null],Multiple,[null]
UniVerse,[null],[null],[null],[null],[null],[null],Multiple,[null]
Database Name,ACID,Referential integrity,Transactions,Fine-grained locking,Multiversion concurrency control,Unicode,Interface,Type inference
