Server,Developed by,Software license,Last stable version,Latest release date
AOLserver,NaviSoft,[null],4.5.2,2012-09-19
Apache HTTP Server,Apache Software Foundation,[null],2.4.41,2019-08-14
Apache Tomcat,Apache Software Foundation,[null],9.0.21,2019-06-07
Boa,Jon Nelson and Larry Doolittle,[null],0.94.13,2002-07-30 (discontinued)
Caddy,Matt Holt,[null],1.0.0,2019-04-24
Caudium,The Caudium Group,[null],1.4.18,2012-02-24
[[Cherokee (Webserver)|Cherokee HTTP Server]],Álvaro López Ortega,[null],1.2.103,2013-04-21
GlassFish,"Oracle Corporation (initial code from Sun Microsystems)",[null],5.1,2019-01-28
Hiawatha,Hugo Leisink,[null],10.9,2019-02-18
HFS,Rejetto,[null],2.3i,2016-06-14
IBM HTTP Server,IBM,proprietary,9.0.0,2016-03-11
Internet Information Services,Microsoft,proprietary,10.0.17763.1,2018-10-02
Jetty,Eclipse Foundation,[null],9.4.18,2019-04-29
Jexus,Bing Liu,proprietary,5.5.2,2014-04-27
lighttpd,Jan Kneschke (Incremental),[null],1.4.54,2019-05-27
LiteSpeed Web Server,LiteSpeed Technologies,proprietary,5.3.7,2019-03-15
Mongoose,Cesanta Software,[null],6.14,2019-03-04
Monkey HTTP Server,Monkey Software,[null],1.6.9,2016-05-04
NaviServer,Various,[null],4.99.18,2019-02-24
NCSA HTTPd,Robert McCool,proprietary,1.5.2a,1996-10-08
Nginx,NGINX  Inc.,[null],1.16.1,2019-08-13
[[Virtuoso Universal Server|OpenLink Virtuoso]],OpenLink Software,[null],7.2.5.1,2018-10-22
Oracle HTTP Server,Oracle Corporation,proprietary,12.1.2,2014-09-23
Oracle iPlanet Web Server,Oracle Corporation,[null],7.0.23,2016-02-12
Oracle WebLogic Server,Oracle Corporation<br />(formerly BEA Systems),proprietary,12cR3 (12.1.3),2014-06-26
Resin Open Source,Caucho Technology,[null],4.0.57,2018-07-19
Resin Professional,Caucho Technology,proprietary,4.0.49,2016-10-19
thttpd,Jef Poskanzer for ACME Laboratories,[null],2.27,2014-10-03
TUX web server,Ingo Molnár,[null],3.2.6.18,2006-09-20
Wakanda Server,Wakanda,[null],2.1.0,2017-07-27
WEBrick,Ruby Community,[null],1.9.3 p286 (Ruby),2012-10-12
Xitami,iMatix Corporation,[null],5.0a0,2009-02-19
Yaws,Claes Wikström,[null],2.0.6,2018-06-26
Zeus Web Server,Zeus Technology,proprietary,4.3r5,2010-01-13
Zope,Zope Corporation,[null],2.13.21,2013-07-16
Server,Developed by,Software license,Last stable version,Latest release date
